# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Italiano
dialog_44khz			44 Khz qualità alta
dialog_numchannels			N. canali
dialog_8channels			8 canali
dialog_16channels			16 canali
dialog_32channels			32 canali
dialog_64channels			64 canali
dialog_memoryusage			Uso memoria
dialog_swapstereo			Scambio stereo
dialog_hw3dsound			Hardware3D sonoro
dialog_realtimeeffects			Effetti realtime
dialog_mastervolume			Volume master
dialog_cpuusage			Uso CPU
dialog_cpuusageunknown			Uso CPU sconosciuto

dialog_screenoptions			Schermo
dialog_refreshrate			Frequenza refresh
dialog_windowed			Windowed
dialog_windowedmode			(modalità windowed)
dialog_fullscreen			Fullscreen
dialog_resolution			Risoluzione
dialog_colourdepth			Profondità colore
dialog_colourdepth_16			16 bit
dialog_colourdepth_24			24 bit
dialog_colourdepth_32			32 bit
dialog_colourdepth_X			*C bit
# C = Color Depth
dialog_zbufferdepth			Z buffer
dialog_refreshrate_X			*R Hz
# R = Refresh Rate
dialog_resolution_W_H			*W x *H
# W = Screen Width, H = Screen Height
dialog_antialias                    Usa Anti-alias

dialog_networkoptions			Network
dialog_networkclientport			Accesso client
dialog_networkserverport			Accesso server
dialog_networkmetaserverport			Accesso MetaServer
dialog_networkuseportforwarding			Port forwarding
dialog_networktracksync			Errori Track Sync
dialog_networktracksynctooltip			Abilitate questa opzione per registrare informazioni dettagliate in ogni frame per assistere nel tracking degli errori di sincronizzazione.\nCiò influenzerà notevolmente la performance.
dialog_networkportforwardtooltip			Abilitate questa opzione se avete problemi a ospitare o a connetervi alle partite.\nDovete abilitare manualmente il port forwarding o gli incoming UPD data sugli accessi sopraindicati nel vostro NAT.
dialog_networkfailed			Fallito
dialog_networkfailedgamerunning			Non potete cambiare le impostazioni di network\nmentre si sta svolgendo una partita.
dialog_networksuccess			Successo
dialog_networksuccessfull			Le vostre impostazioni di network\nsono state aggiornate.
dialog_networkporttooltip			Numero di accesso da usare per comunicare. I numeri d'accesso validi sono più grandi di 1024 e più bassi di 65535.\nSpecificate accesso 0 per lasciare che il sistema trovi una porta libera per voi.
dialog_troubleshooting			Avete problemi? Cliccate qui...
dialog_troubleshooting_tooltip			Cliccate qui per visitare il nostro sito per la risoluzione dei problemi. Riceverete aiuto per diagnosticare qualsiasi problema di network.
dialog_no_change_while_in_game_1			Non potete cambiare le impostazioni di network
dialog_no_change_while_in_game_2			mentre si sta svolgendo una partita.

dialog_authoptions			Autenticazione
dialog_paste			Incollate
dialog_paste_tooltip			Incollate il codice dagli appunti
dialog_auth_failed			Autenticazione FALLITA
dialog_bad_key_title			AUTENTICAZIONE FALLITA
dialog_authkey_not_found			Codice autenticazione non trovato
dialog_meta_server_details			\n\nPrego visitate questa URL per attivare il vostro codice:\nMETASERVER.INTROVERSION.CO.UK
dialog_not_permitted_start_game			Non vi è permesso cominciare una nuova partita\npoiché non abbiamo potuto autenticare il vostro codice.\n\n\nKEY  : *K\nERROR: *E\n*M
# K = Auth Key, E = Error Message, M = Message
dialog_not_permitted_join_game			Non vi è permesso entrare in una partita\npoiché non abbiamo potuto autenticare il vostro codice.\n\n\nKEY  : *K\nERROR: *E\n
# K = Auth Key, E = Error Message
dialog_auth_error			Errore autenticazione\n*E\n\nKey: *K\n
# K = Auth Key, E = Error Message
dialog_type_authkey_or_demo_1			Prego digitate il vostro codice di autenticazione
dialog_type_authkey_or_demo_2			o cliccate su Attiva demo
dialog_auth_status			STATUS AUTENTICAZIONE
dialog_auth_status_unknown			SCONOSCIUTO
dialog_auth_status_checking			CONTROLLO...
dialog_auth_status_demo_user			UTENTE DEMO
dialog_may_play_as_demo_user			Potete giocare come UTENTE DEMO se volete.
dialog_cannot_use_mac_key_on_pc     Non potete usare un codice Mac nella versione PC
dialog_cannot_use_pc_key_on_mac     Non potete usare un codice PC nella versione Mac

dialog_auth_wrong_platform          Piattaforma errata
dialog_auth_key_dead                Codice scaduto
dialog_auth_version_not_found			Versione non trovata
dialog_auth_key_inactive			Codice inattivo
dialog_auth_version_revoked			Versione revocata
dialog_auth_key_not_found			Codice non trovato
dialog_auth_key_revoked			Codice revocato
dialog_auth_key_banned			Codice bandito
dialog_auth_key_invalid			Codice non valido
dialog_auth_unknown			Sconosciuto
dialog_auth_accepted			Accettato

dialog_controloptions			Altro
dialog_sidescrolling			Scorrimento mouse
dialog_zoomspeed                    Velocità zoom
dialog_camdragging			Trascinamento telecamera
dialog_tooltips			Mostra consigli strumenti
dialog_popupscale			Dimensione
dialog_panickey			Tasto panico
dialog_language			Lingua
dialog_restart_required_language			Prego riavviare Defcon per rendere effettive\nle impostazioni di lingua
dialog_keyboardlayout               Layout tastiera

dialog_zoomnormal                   Normale
dialog_zoomslow                     Lento

dialog_lobby			LOBBY
dialog_lobby_team_options			Opzioni squadra
dialog_lobby_advanced_options			Opzioni avanzate
dialog_rename			Rinomina
dialog_territories			Territori
dialog_alliance			Alleanza
dialog_requestai			Aggiungi giocatore AI
dialog_chat			Chat
dialog_ready			Pronto
dialog_gamestart			Inizio tra *X secondi
# X = Countdown in secondes before the game start
dialog_gamestart_whenready			Tutti i giocatori: cliccate 'PRONTO' per iniziare
dialog_gamestart_youready			Clicca 'PRONTO' per iniziare.
dialog_kick			Espelli
dialog_spectate			Osserva
dialog_join_alliance			Entra in *A
# A = Alliance Name
dialog_closed			chiuso
dialog_demo_user			UTENTE DEMO
dialog_number_players_max			*N max giocatori
# N = Number Players Max
dialog_click_to_open			clicca per aprire
dialog_click_to_close			clicca per chiudere
dialog_awaiting_player			attesa giocatore...
dialog_cpu_team_name			[CPU] *T
# T = Team Name
dialog_joining			[Entrando...]
dialog_demo_team_name			[DEMO] *T
# T = Team Name
dialog_demo_too_many_players			Non potete avere così tanti giocatori in partita,\nperché state giocando la DEMO.\n\nSe volete giocare una folle partita multigiocatore in sei, dovete prima comprare la versione completa del gioco.\n\nMax = *N giocatori
# N = Max Demo Game Size
dialog_edited			editato
dialog_locked			bloccato
dialog_click_select_territory			SELEZIONATE IL TERRITORIO (*T/*M)
# T = Number of Territories, M = Maximum number of Territories
dialog_random_territories			TERRITORI CASUALI
dialog_option_locked_demo_1			Questa opzione è BLOCCATA
dialog_option_locked_demo_2			(Giocatore DEMO).
dialog_option_locked_game_mode_1			Questa opzione è BLOCCATA
dialog_option_locked_game_mode_2			a causa della modalità di gioco attuale.
dialog_spectators_number			SPETTATORI     (*N MAX)
# N = Maximum number of Spectators
dialog_awaiting_spectators			Attesa spettatori...
dialog_internet_identity			Identità Internet:
dialog_internet_identity_details			*I : *P
# I = Ip Address, P = port
dialog_lan_identity			Identità LAN:
dialog_server_identity			Identità Server:
dialog_lobby_defcon			DEFCOn
dialog_created_by_introversion      CREATO  DA  INTROVERSION  SOFTWARE
dialog_lobby_version			VERSIONE:
dialog_lobby_have_latest_version			Avete l'ultima versione.
dialog_lobby_newer_version			Una nuova versione è disponibile: *V 
# V = Newer Version
dialog_lobby_click_to_download			Cliccate qui per scaricarla
dialog_lobby_demo_limitations			LIMITAZIONI DEMO
dialog_lobby_max_demo_game_size			Dimensione max partita demo
dialog_lobby_max_demo_players			Max giocatori demo in ogni partita
dialog_lobby_demo_servers_permitted			Server demo permessi
dialog_lobby_number_players			*P giocatori
# P = Number of Players
dialog_lobby_metaserver_time			ORARIO METASERVER
dialog_lobby_time_gmt			*H:*M*A (GMT)
# H = Hours, M = Minutes, A = am/pm
dialog_lobby_test_hours_start_at			LE VOSTRE ORE DI TEST COMINCIANO ALLE
dialog_lobby_scheduled_test_hour			ORE DI TEST PROGRAMMATE
dialog_lobby_occurring_now			IN CORSO ORA
dialog_lobby_next_test_hour_begins			LA PROSSIMA ORA DI TEST COMINCIA TRA
dialog_lobby_minutes			*M MINUTI
# M = Minutes
dialog_lobby_hours_minutes			*H ORE *M MINUTI
# H = Hours, M = Minutes
dialog_lobby_authentication			AUTENTICAZIONE : *A
# A = Authentication Status
dialog_lobby_client_ident			IDENTITÀ CLIENT : *I:*P
# I = Ip Address, P = port
dialog_lobby_client_ident_unknown			IDENTITÀ CLIENT : SCONOSCIUTA
dialog_lobby_server_ident			IDENTITÀ SERVER : *I:*P
# I = Ip Address, P = port
dialog_lobby_server_ident_unknown			IDENTITÀ SERVER : SCONOSCIUTA

dialog_alliance_0			Rosso
dialog_alliance_1			Verde
dialog_alliance_2			Blu
dialog_alliance_3			Giallo
dialog_alliance_4			Arancio
dialog_alliance_5			Turchese

dialog_alliances			Alleanze
dialog_declarewar			Termina cessate il fuoco con *T?
dialog_ceasefire			Cessate il fuoco con *T?
dialog_ceasefire_title			Cessate il fuoco
dialog_shareradar			Condividi radar
dialog_alliance_leave			Lascia l'alleanza
dialog_alliance_kick			Escludi il giocatore dall'alleanza
dialog_alliance_join			Richiedi di unirti all'alleanza
dialog_shareradarbegin			Condividi il radar con *T?
dialog_shareradarend			Cessa di condividere il radar con *T?
dialog_vote			Vota
dialog_abstain			Astieniti
dialog_you_requested_alliance_1			Avete chiesto di
dialog_you_requested_alliance_2			entrare nell'alleanza *A
# A = Alliance
dialog_requested_alliance_1			*T ha chiesto
# T = Team Name
dialog_requested_alliance_2			di entrare nella vostra alleanza
dialog_you_requested_kick_1			Avete chiesto
dialog_you_requested_kick_2			di espellere *T
# T = Team Name
dialog_requested_kick_1			*T ha chiesto
# T = Team Name
dialog_requested_kick_2			di espellere *T
# T = Team Name
dialog_vote_yes			SÌ
dialog_vote_no			NO
dialog_vote_abstain			Astieniti
dialog_vote_seconds_to_vote			*S secondi per votare
# S = Seconds to vote
dialog_vote_number_votes_required			*V voti necessari
# V = Number of Vote Required
dialog_vote_succeeded			SUCCESSO
dialog_vote_failed			FALLITO
dialog_alliance_player			Giocatore
dialog_alliance_receiving			Ricezione
dialog_alliance_radar			Radar
dialog_alliance_sending			Invio
dialog_alliance_cease			Cessate
dialog_alliance_fire			Fuoco

dialog_placeunit			Piazza unità
dialog_createfleet			Forma flotta

dialog_credits_1			*C Riconoscimenti
dialog_credits_2			Rimanenti
dialog_fleets			Flotte
dialog_units			Unità
dialog_place_fleet			Piazza flotta

dialog_paused			PAUSA
dialog_gameover			FINE PARTITA
dialog_saved_screenshot			/me ha salvato uno screenshot
# /me will be replaced by the Team Name
dialog_steam_authentication_failed			Autenticazione Steam FALLITA\n\n
dialog_steam_logged_in_elsewhere			Per risolvere il problema dovete accedere di nuovo a Steam.\nUscite da Defcon, cliccate sul menu File in Steam, poi cliccate su 'Change User'.\nInserite i vostri username e password per accedere di nuovo.\n\n
dialog_steam_error			Errore Steam
dialog_synchronisation_error			ERRORE DI SINCRONIZZAZIONE
dialog_connection_problem_seconds			PROBLEMA DI CONNESSIONE (*S SECS)
# S = Seconds of Estimated Latency
dialog_high_latency			Latenza Alta
dialog_high_packet_loss			Perdita alta di packet
dialog_defcon_x_in_x_time			DEFCON *D IN *M:*S
# D = Defcon level, M = Minutes, S = Seconds
dialog_time_remaining			*M:*S RIMASTI
# M = Minutes, S = Seconds
dialog_autocam			AUTOCAM
dialog_non_playable_demo			DEMO NON GIOCABILE
dialog_tracking_synchronisation			SINCRONIZZAZIONE TRACKING

dialog_steam_authentication			Autenticazione Steam
dialog_steam_play_defcon			Gioca a Defcon
dialog_steam_auth_status			STATUS AUTENTICAZIONE STEAM
dialog_steam_welcome_to_defcon			Benvenuti a Defcon!
dialog_steam_may_play_demo			Potete giocare la DEMO di Defcon
dialog_steam_unable_to_auth			Non abbiamo potuto autenticarvi.
dialog_steam_auth_progress			Autenticazione Steam : *P
# P = Steam Authentication Progress

dialog_steam_error_edenysteamvalidationstalled			Errore nella verifica dello UserID Ticket STEAM (il server non ha potuto contattare il server di autenticazione).\n
dialog_steam_error_edenynotloggedon			Accesso Steam non valido
dialog_steam_error_edenyloggedinelsewhere			Si è verificato un accesso a questo account da un altra località
dialog_steam_error_edenynolicense			Questa partita non appartiene a questo account Steam. \nPrego entrate nell'account Steam corretto.
dialog_steam_error_edenyinvalidversion			Versione del client incompatibile con il server. \nPrego uscire e riavviare
dialog_steam_error_edenycheater			Questo account è bandito
dialog_steam_error_edenyunknowntext			Client mollato dal server
dialog_steam_error_edenyincompatibleanticheat			È in funzione un tool esterno incompatibile con i Secure server.
dialog_steam_error_edenymemorycorruption			Rilevata corruzione di memoria.
dialog_steam_error_edenyincompatiblesoftware			È in funzione del software incompatibile con i Secure server.
dialog_steam_error_edenygeneric			Client abbandonato dal server
dialog_steam_error_unknown			Sconosciuto

dialog_steam_progress_not_started			Non Avviato
dialog_steam_progress_started			Avviato
dialog_steam_progress_starting_steam			Avviamento Steam
dialog_steam_progress_starting_steam_api			Avviamento Steam API
dialog_steam_progress_logging_on_to_steam			Accesso a Steam
dialog_steam_progress_getting_steam_id			Acquisizione Id Steam
dialog_steam_progress_getting_encryption_details			Acquisizione dettagli crittografia
dialog_steam_progress_getting_steam2_auth			Acquizione autenticazione Steam2
dialog_steam_progress_getting_steam3_auth			Acquizione autenticazione Steam3
dialog_steam_progress_requesting_authentication			Richiesta autenticazione
dialog_steam_progress_success			Successo
dialog_steam_progress_success_demo			Successo (demo)
dialog_steam_progress_failed			Fallito

dialog_warning			Avvertenza

dialog_enterpassword			Inserire server password
dialog_setpassword			Impostare server password (lasciare lo spazio vuoto per non averla)

dialog_resync_title			Risincronizza
dialog_resync_button			Risincronizza
dialog_resync_caption			La vostra partita non è più sincronizzata con gli altri giocatori.\n\nCliccate sul pulsante Risincronizza per provare a riparare a questo errore.\n\nCiò potrebbe richiedere alcuni minuti.

team_unassigned			Non assegnato
team_ai			Giocatore AI
team_local			Giocatore locale
team_remote			Giocatore remoto

team_name_not_set			[nome-non-scelto]

dialog_metaserver_failedtitle			CONNESSIONE AL METASERVER FALLITA
dialog_metaserver_failedconnect			Defcon non ha potuto connettersi al MetaServer.\nQuesto significa che non potrete recuperare i listing del server,\no listare il vostro game server.\n\nVerificate se la vostra connessione Internet funziona, e provate a disabilitare\neventuali firewall o altri strumenti network attualmente in funzione.\n\nDefcon deve potersi collegare ai seguenti accessi:\n5009 UDP (in uscita)\n5009 UDP (in arrivo).\n\nPer ulteriore assistenza consultate la nostra guida alla risoluzione dei problemi:\nhttp://www.everybody-dies.com/support/

dialog_client_failedtitle			ERRORE DI NETWORK
dialog_client_failedconnect			Defcon non ha potuto aprire un network listener per il client.\nQuesto significa che non potrete partecipare a nessuna parita,\no creare le vostre.\n\nProvate a disabilitare eventuali firewall o altri strumenti network attualmente in funzione.\n\nPer ulteriore assistenza consultate la nostra guida alla risoluzione dei problemi:\n

dialog_server_failedtitle			INIZIALIZZAZIONE SERVER FALLITA
dialog_server_failedconnect			Defcon non ha potuto inizializzare un Server.\nIl motivo è la non disponibilità delle connessioni network richieste.\n\nProvate a disabilitare eventuali firewall o altri strumenti network attualmente in funzione.\n\nPer ulteriore assistenza consultate la nostra guida alla risoluzione dei problemi:\n

dialog_ambxsupport			Supporto amBX
dialog_ambxsupport_tooltip			Abilitate questa opzione solo se avete l'hardware AMBX installato. Per ulteriori informazioni visitate www.ambx.com.

dialog_screen_error_title			Errore schermo
dialog_screen_error_caption			Fallimento settaggio risoluzione schermo richiesta\n*W x *H, *C colore, *S.\n\nRipristinati settaggi di sicurezza\n*w x *h, *c colore, *s.
# W = Screen Width, H = Screen Height, C = Color Depth (ie: 24 bit), S = Windowed/Fullscreen
# The four other are the safe version of their capitalized counterparts (ie: w, h ,c ,s)

dialog_restart_required_title			Riavvio necessario
dialog_restart_required_caption			Prego riavviate Defcon per rendere effettive\nle impostazioni schermo.

dialog_connection_status			Status connessione
dialog_abort_current_connection			Annulla il tentativo di connessione in corso
dialog_state_disconnected			DISCONNESSO
dialog_state_connecting			CONNESSIONE...
dialog_state_connected			CONNESSO
dialog_state_attempts			TENTATIVI : *A
# A = Number of Connection Attempts
dialog_state_receiving			RICEZIONE...
dialog_state_received			RICEVUTO
dialog_state_synchronising			SINCRONIZZAZIONE...
dialog_state_synchronised			SINCRONIZZATO
dialog_state_time_remaining			TEMPO RIMASTO : *M.*S
# M = Minutes, S = Seconds

dialog_toolbar_units			unità
dialog_toolbar_allies			alleanze
dialog_toolbar_comms			comm
dialog_toolbar_scores			punteggio
dialog_toolbar_radar			radar
dialog_toolbar_people			popolazione
dialog_toolbar_orders			ordini
dialog_toolbar_territory			territorio
dialog_toolbar_nukes			atomiche
dialog_toolbar_white_board			lavagna
dialog_toolbar_info			info

dialog_mod			Mod
dialog_mod_commit_title			CARICAMENTO MOD...
dialog_mod_commit_mod_path			Scelta percorso MOD...\n
dialog_mod_commit_activating_mod			Attivazione mod '*N *V'\n
# N = MOD name, V = version
dialog_mod_commit_all_mods_off			Tutti i MOD disattivati
dialog_mod_error			ERRORE
dialog_mod_no_arrangement_change			Non potete cambiare la disposizione di mod CRITICI\nmentre la partita è in corso.
dialog_mod_not_installed			(NON INSTALLATO)
dialog_mod_active			attivo
dialog_mod_clear_all			Cancella tutto
dialog_mod_deactivate			Disattiva
dialog_mod_activate			Attiva
dialog_mod_click_download_mods			Cliccate qui per scaricare altri mod
dialog_mod_click_here			Cliccate qui
dialog_mod_move_up			Muovi su
dialog_mod_move_down			Muovi giù
dialog_mod_no_mod_selected			Nessun mod selezionato
dialog_mod_screenshot_not_found			Screenshot non trovato
dialog_mod_install_dir			Directory installazione
dialog_mod_author			Autore
dialog_mod_website			Sito Web
dialog_mod_required_all_players			Richiesto da TUTTI I GIOCATORI
dialog_error_mod_path_title			Errore nella scelta del percorso MOD
dialog_error_mod_path_caption			Errore nella scelta del percorso MOD.\nIl server ha attivato un MOD che non avete installato.\n\nIl server ha i seguenti mod attivati:\n

dialog_demo			Demo
dialog_welcome_to_demo			BENVENUTI ALLA DEMO
dialog_play_demo			Gioca demo
dialog_buy_now			Compra ora
dialog_buy_now_caps			COMPRA ORA
dialog_exit_game_time			Esci dalla partita (*T)
# T = Remaining time
dialog_exit_game			Esci dalla partita
dialog_welcome_to_demo_defcon			Benvenuto alla DEMO di Defcon.
dialog_demo_player_limited			Potete creare una partita multigiocatore\nma con il limite massimo di *P giocatori.\nAlla VERSIONE COMPLETA possono partecipare fino a 6 giocatori.\n\n
# P = Number of Players
dialog_demo_player_join_limited			Potete entrare in una partita multigiocatore\nma solo se ci sono meno di *P giocatori DEMO già collegati.
# P = Number of Players
dialog_demo_spectate_any_game			\n\nPotete osservare qualsiasi partita.

dialog_server_browser			Browser Server
dialog_server_password			Password Server
dialog_enter_ip_manually			Inserite l'IP manualmente
dialog_filters			Filtri
dialog_server_details			Server  *I : *P
# I = Ip Address, P = port
dialog_server_version_mismatch			Non potete collegarvi a questo server partita.\n\nHanno attiva una versione diversa dalla vostra\ne le versioni non sono compatibili.\n\n\nLa vostra versione  : *V\nLa loro versione : *T
# V = Your version, T = Their version
dialog_cannot_join_server			Non potete collegarvi a questo server.
dialog_no_join_mods_not_installed			Non potete collegarvi a questo server partita.\n\nHanno attivi dei MOD che non avete installati.\n\n\nQuesti MOD sono necessari:\n\n*R\n\nPotete scaricare i MOD da\n
# R = Reason
dialog_no_join_own_game			Non potete collegarvi a questo server partita.\n\nÈ il vostro server partita e siete già collegati a esso.
dialog_requesting			Richiesta...
dialog_refresh_number_server			Refresh (*S)
# S = Number of Servers
dialog_server_demo_restricted			Questo server è LIMITATO PER DEMO.\n\nCiò significa che ci sono già troppi giocatori demo collegati alla partita, o che la partita procede in modalità gioco avanzato\n\nSe volete partecipare a partite di queste dimensioni dovete acquistare il gioco completo.\n\nMax giocatori demo per partita : *N
# N = Max Demo Game Size
dialog_number_server_found			*N server trovati
# N = Number Server Found
dialog_retrieving_server_list			Acquisizione lista server...
dialog_net_location_lan			*I:*P [LAN]
# I = Ip Address, P = port
dialog_game_ended			(finito)
dialog_demo_game_mode			demo
dialog_mod_base_number_more			*M (*N altri)
# M = Mod base, N = Number of Remaining Mods
dialog_server_name_incompatible			*S [INCOMPATIBILE]
# S = Server Name
dialog_server_name_mods_required			*S [MOD RICHIESTI]
# S = Server Name
dialog_server_name_your_server			*S [VOSTRO SERVER]
# S = Server Name
dialog_server_name_demo_restricted			*S [LIMITATO PER DEMO]
# S = Server Name
dialog_server_name_full			*S [PIENO]
# S = Server Name
dialog_server_name_not_responding			*S  [NON RISPONDE]
# S = Server Name
dialog_connected_recently			(Connesso di recente)
dialog_server_browser_teams			Squadre
dialog_server_browser_specs			Specifiche
dialog_server_browser_time			Tempo
dialog_server_browser_mods			MOD
dialog_server_browser_game_mode			Modalità partita
dialog_server_browser_server_name			Nome server
dialog_server_browser_list			Lista
dialog_filter_all_games			Tutte le partite
dialog_filter_games_in_lobby			Partite in lobby
dialog_filter_games_in_progress			Giochi in svolgimento
dialog_filter_recent_servers			Server recenti
dialog_filter_lan_games			Giochi LAN
dialog_filter_enter_ip_manually			Inserisci IP manualmente
dialog_join			Entra
dialog_enter_ip			[inserisci ip]
dialog_connect			Collegati
dialog_server_ip			IP server
dialog_server_port			Ingresso server
dialog_single_player_games			Partite a giocatore singolo
dialog_demo_games			Partite demo
dialog_default_named_servers			Server con nome di default
dialog_show_single_player_games			Partite a giocatore singolo
dialog_show_demo_games			Partite demo
dialog_show_default_named_games			Paritite con nome di default
dialog_server_name			Nome
dialog_server_identity_address			Identità
dialog_server_game_name			Partita
dialog_server_game_mode			Modalità partita
dialog_server_score_mode			Modalità punti
dialog_server_started			[iniziato]
dialog_server_ended			[finito]
dialog_server_not_yet_started			[non ancora iniziato]
dialog_spectators			Spettatori
dialog_server_game_time			Tempo di gioco
dialog_server_scores			Punteggi
dialog_retrieving_scores			Recupero punteggi...

dialog_disconnected			Scollegato
dialog_disconnect_client_leave			Avete lasciato la partita
dialog_disconnect_server_shutdown			Il server ha chiuso
dialog_disconnect_invalid_key			State usando un codice non valido
dialog_disconnect_duplicate_key			State usando un codice duplicato
dialog_disconnect_key_auth_failed			Autenticazione codice fallita
dialog_disconnect_bad_password			Password non valida inserita
dialog_disconnect_game_full			Il gioco è già pieno
dialog_disconnect_kicked_from_game			Espulso dal server
dialog_disconnect_demo_full			Ci sono già troppi giocatori demo
dialog_disconnect_unknown			Sconosciuto

dialog_chat_public			Pubblico
dialog_chat_alliance			Alleanza
dialog_chat_spectators			Spettatori
dialog_chat_channel_public			[pubblico]
dialog_chat_channel_alliance			[alleanza]
dialog_chat_channel_spectators			[spettatori]
dialog_chat_channel_private			[privato]
dialog_chat_channel_to_team_name			[a *T]
# T = Team Name

dialog_white_board_draw_erase			disegna
dialog_white_board_clear_all			cancella tutto
dialog_white_board_show_all			mostra tutto

dialog_worldstatus_defcon			DEFCON
dialog_worldstatus_defcon_x			DEFCON *D
# D = Defcon level
dialog_worldstatus_time_remain_hms			Tempo rimasto : *Hh *Mm *Ss
# H = Hours, M = Minutes, S = Seconds
dialog_worldstatus_time_remain_ms			Tempo rimasto : *Mm *Ss
# M = Minutes, S = Seconds
dialog_worldstatus_show_stats			Mostra statistiche
dialog_worldstatus_scoremode			Modalità
dialog_worldstatus_cpu_team_name			[CPU]*T
# T = Team Name
dialog_worldstatus_left_team_name			[RIMASTO]*T
# T = Team Name
dialog_worldstatus_demo_team_name			[DEMO]*T
# T = Team Name
dialog_worldstatus_out_of_sync			FuoriSincronia
dialog_worldstatus_out_of_sync_2			fuori sincronia
dialog_worldstatus_spectator_join			Spettatore (entra...)
dialog_worldstatus_superpower			Superpotere
dialog_worldstatus_kills			Uccisioni
dialog_worldstatus_deaths			Morti
dialog_worldstatus_survivors			Sopravvissuti
dialog_worldstatus_collateral			Collatrerale
dialog_worldstatus_nukes			Missili
dialog_worldstatus_score			Punteggio
dialog_worldstatus_points_value			Valore Punti:
dialog_worldstatus_pop_in_millions			*P m
# P = Population in millions
dialog_worldstatus_classified			[classificato]
dialog_stats			Statistiche

dialog_casualties_city			Città
dialog_casualties_strikes			Attacchi
dialog_casualties_deaths			Morti
dialog_casualties_in_million			*C Milioni
# C = Casualties in Million

dialog_network_title                Network
dialog_network_server_seqid			SeqID server       *S
# S = Server sequence
dialog_network_server_send			Invio server        *R Kb/sec
# R = Send Rate
dialog_network_server_receive			Ricezione server    *R Kb/sec
# R = Receive Rate
dialog_network_id			ID
dialog_network_ip_port			IP:Port
dialog_network_seqid			SeqID
dialog_network_seqid_number			SeqID *S
# S = Sequence Id
dialog_network_name			Nome
dialog_network_status			Status
dialog_network_lost_con			Con perduto...*Ss
