# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Deutsch
dialog_mixfrequency			Frequenzen mischen
dialog_11khz			11 kHz Niedrige Qualität
dialog_22khz			22 kHz Mittlere Qualität
dialog_44khz			44 kHz Hohe Qualität
dialog_numchannels			Anz. Kanäle
dialog_8channels			8 Kanäle
dialog_16channels			16 Kanäle
dialog_32channels			32 Kanäle
dialog_64channels			64 Kanäle
dialog_memoryusage			Speicherverbrauch
dialog_swapstereo			Stereo tauschen
dialog_hw3dsound			Hardware 3D-Sound
dialog_realtimeeffects			Echtzeiteffekte
dialog_mastervolume			Master-Lautstärke
dialog_cpuusage			CPU-Leistung
dialog_cpuusageunknown			CPU-Leistung unbekannt

dialog_screenoptions			Bildschirm
dialog_refreshrate			Wiederholungsrate
dialog_windowed			Fenster
dialog_windowedmode			 (Fenster-Modus)
dialog_fullscreen			Ganzer Bildschirm
dialog_resolution			Auflösung
dialog_colourdepth			Farbtiefe
dialog_colourdepth_16			16 bit
dialog_colourdepth_24			24 bit
dialog_colourdepth_32			32 bit
dialog_colourdepth_X			*C Bit
# C = Color Depth
dialog_zbufferdepth			Tiefe Z-Puffer
dialog_refreshrate_X			*R Hz
# R = Refresh Rate
dialog_resolution_W_H			*W x *H
# W = Screen Width, H = Screen Height
dialog_antialias                    Anti-Aliasing

dialog_networkoptions			Netzwerk
dialog_networkclientport			Client-Port
dialog_networkserverport			Server-Port
dialog_networkmetaserverport			MetaServer-Port
dialog_networkuseportforwarding			Port-Weiterleitung
dialog_networktracksync			Sync-Fehler verfolgen
dialog_networktracksynctooltip			Aktivieren Sie diese Option, um ausführliche Informationen für die Verfolgung von Synchronisierungsfehlern zu sammeln.\nHat starken Einfluss auf die Leistung.
dialog_networkportforwardtooltip			Aktivieren Sie diese Option, wenn Sie Probleme mit dem Hosting von oder der Verbindung zu Spielen haben.\nSie müssen die Port-Weiterleitung von eingehenden UDP-Daten auf die obigen Ports auf Ihrem NAT manuell aktivieren.
dialog_networkfailed			Fehler
dialog_networkfailedgamerunning			Sie können Ihre Netzwerkeinstellungen\nnicht ändern, wenn das Spiel läuft.
dialog_networksuccess			Erfolg
dialog_networksuccessfull			Ihre Netzwerkeinstellungen\nwurden aktualisiert.
dialog_networkporttooltip			Port-Nummer für die Kommunikation. Gültige Port-Nummern sind größer 1024 und kleiner als 65535.\nLegen Sie Port 0 fest, wählt das System einen freien Port für Sie aus.
dialog_troubleshooting			Probleme? Hilfe zur Problembehebung
dialog_troubleshooting_tooltip			Klicken Sie hier, um unsere Webseite mit Hilfe für die Diagnose aller das Netzwerk betreffenden Probleme zu besuchen.
dialog_no_change_while_in_game_1			Sie können Ihre Netzwerkeinstellungen nicht ändern,
dialog_no_change_while_in_game_2			während ein Spiel läuft

dialog_authoptions			Authentifizierung
dialog_paste			Kopieren
dialog_paste_tooltip			Den Schlüssel aus der Zwischenablage kopieren
dialog_auth_failed			Authentifizierung FEHLGESCHLAGEN
dialog_bad_key_title			AUTHENTIFIZIERUNG FEHLGESCHLAGEN
dialog_authkey_not_found			AuthKey nicht gefunden
dialog_meta_server_details			\n\nBitte besuchen Sie diese URL, um Ihren Key zu aktivieren:\nMETASERVER.INTROVERSION.CO.UK
dialog_not_permitted_start_game			Sie können kein neues Spiel starten,\nda wir Ihren Schlüssel nicht authentifizieren konnten.\n\nSCHLÜSSEL : *K\nFEHLER: *E\n*M
# K = Auth Key, E = Error Message, M = Message
dialog_not_permitted_join_game			Sie können an keinem Spiel teilnehmen,\nda wir Ihren Schlüssel nicht authentifizieren konnten.\n\nSCHLÜSSEL : *K\nFEHLER: *E\n
# K = Auth Key, E = Error Message
dialog_auth_error			Authentifizierungsfehler\n*E\n\nKey: *K\n
# K = Auth Key, E = Error Message
dialog_type_authkey_or_demo_1			Bitte Authentifizierungsschlüssel eingeben
dialog_type_authkey_or_demo_2			oder auf Demo spielen klicken
dialog_auth_status			AUTHENTIFIZIERUNGSSTATUS
dialog_auth_status_unknown			UNBEKANNT
dialog_auth_status_checking			PRÜFUNG...
dialog_auth_status_demo_user			DEMO-BENUTZER
dialog_may_play_as_demo_user			Sie können als DEMO-SPIELER spielen, wenn Sie möchten.
dialog_cannot_use_mac_key_on_pc     Sie können eine Mac-Taste in der PC-Version nicht verwenden.
dialog_cannot_use_pc_key_on_mac     Sie können eine PC-Taste in der Mac-Version nicht verwenden.

dialog_auth_wrong_platform          Falsche Plattform
dialog_auth_key_dead                Taste tot
dialog_auth_version_not_found			Version nicht gefunden
dialog_auth_key_inactive			Schlüssel deaktiviert
dialog_auth_version_revoked			Version abgewiesen
dialog_auth_key_not_found			Schlüssel nicht gefunden
dialog_auth_key_revoked			Schlüssel abgewiesen
dialog_auth_key_banned			Schlüssel abgewiesen
dialog_auth_key_invalid			Schlüssel ungültig
dialog_auth_unknown			Unbekannt
dialog_auth_accepted			Angenommen

dialog_controloptions			Andere
dialog_sidescrolling			Blättern Maus
dialog_zoomspeed                    Zoom-Geschwindigkeit
dialog_camdragging			Verschieben Kamera
dialog_tooltips			Infokasten zeigen
dialog_popupscale			Popup-Größe
dialog_panickey			Panikschalter
dialog_language			Sprache
dialog_restart_required_language			Bitte Defcon neustarten, damit Sprach-\neinstellungen in Kraft treten.
dialog_keyboardlayout               Tastaturbelegung

dialog_zoomnormal                   Normal
dialog_zoomslow                     Langsam

dialog_lobby			LOBBY
dialog_lobby_team_options			Teamoptionen
dialog_lobby_advanced_options			Erweiterte Optionen
dialog_rename			Umbenennen
dialog_territories			Territorien
dialog_alliance			Allianz
dialog_requestai			KI-Spieler hinzufügen
dialog_chat			Chat
dialog_ready			Bereit
dialog_gamestart			Spiel startet in *X Sekunden
# X = Countdown in secondes before the game start
dialog_gamestart_whenready			Alle Spieler - Zum Start 'BEREIT' klicken
dialog_gamestart_youready			Zum Start 'BEREIT' klicken
dialog_kick			Rausschmiss
dialog_spectate			Zuschauen
dialog_join_alliance			Bei *A einsteigen
# A = Alliance Name
dialog_closed			schließen
dialog_demo_user			DEMO-BENUTZER
dialog_number_players_max			Max. *N Spieler
# N = Number Players Max
dialog_click_to_open			Zum Öffnen klicken
dialog_click_to_close			Zum Schließen klicken
dialog_awaiting_player			Warte auf Spieler
dialog_cpu_team_name			[CPU] *T
# T = Team Name
dialog_joining			[Anmeldung...]
dialog_demo_team_name			[DEMO] *T
# T = Team Name
dialog_demo_too_many_players			Sie können nicht so viele Spieler in Ihrem Spiel haben,\nweil Sie die DEMO spielen.\n\nMöchten Sie am Mehrspieler-Wahnsinn mit sechs Spielern teilnehmen, dann müssen Sie zuerst die Vollversion kaufen.\n\nMax. Größe Demospiel = *N Spieler
# N = Max Demo Game Size
dialog_edited			Bearbeitet
dialog_locked			gesperrt
dialog_click_select_territory			WÄHLEN SIE IHR TERRITORIUM (*T/*M)
# T = Number of Territories, M = Maximum number of Territories
dialog_random_territories			ZUFÄLLIGE TERRITORIEN
dialog_option_locked_demo_1			Diese Option ist GESPERRT
dialog_option_locked_demo_2			(DEMO-Spieler).
dialog_option_locked_game_mode_1			Diese Option ist GESPERRT
dialog_option_locked_game_mode_2			Aufgrund des aktuellen Spielmodus
dialog_spectators_number			ZUSCHAUER     (*N MAX)
# N = Maximum number of Spectators
dialog_awaiting_spectators			Warte auf Zuschauer...
dialog_internet_identity			Internetidentität:
dialog_internet_identity_details			*I : *P
# I = Ip Address, P = port
dialog_lan_identity			LAN-Identität:
dialog_server_identity			Serveridentität:
dialog_lobby_defcon			DEFCOn
dialog_created_by_introversion      ENTWICKELT  DURCH  INTROVERSION  SOFTWARE
dialog_lobby_version			VERSION:
dialog_lobby_have_latest_version			Sie haben die neueste Version.
dialog_lobby_newer_version			Eine neue Version ist verfügbar : *V
# V = Newer Version
dialog_lobby_click_to_download			Hier zum Download klicken
dialog_lobby_demo_limitations			DEMOEINSCHRÄNKUNG
dialog_lobby_max_demo_game_size			Max. Demospielgröße
dialog_lobby_max_demo_players			Max. Demo-Spieler pro Spiel
dialog_lobby_demo_servers_permitted			Demo-Server zugelassen
dialog_lobby_number_players			*P Spieler
# P = Number of Players
dialog_lobby_metaserver_time			METASERVER-ZEIT
dialog_lobby_time_gmt			*H:*M*A (GMT)
# H = Hours, M = Minutes, A = am/pm
dialog_lobby_test_hours_start_at			IHRE TESTSTUNDEN STARTEN UM
dialog_lobby_scheduled_test_hour			GEPLANTE TESTSTUNDE
dialog_lobby_occurring_now			JETZT STATTFINDEND
dialog_lobby_next_test_hour_begins			NÄCHSTE SPIELSTUNDE BEGINNT IN
dialog_lobby_minutes			*M MINUTEN
# M = Minutes
dialog_lobby_hours_minutes			*H STUNDEN *M MINUTEN
# H = Hours, M = Minutes
dialog_lobby_authentication			AUTHENTIFIZIERUNG . *A
# A = Authentication Status
dialog_lobby_client_ident			CLIENT-IDENTITÄT : *I:*P
# I = Ip Address, P = port
dialog_lobby_client_ident_unknown			CLIENT-IDENTITÄT : UNBEKANNT
dialog_lobby_server_ident			SERVERIDENTITÄT : *I:*P
# I = Ip Address, P = port
dialog_lobby_server_ident_unknown			SERVERIDENTITÄT : UNBEKANNT

dialog_alliance_0			Rot
dialog_alliance_1			Grün
dialog_alliance_2			Blau
dialog_alliance_3			Gelb
dialog_alliance_4			Orange
dialog_alliance_5			Türkis

dialog_alliances			Allianzen
dialog_declarewar			Feuerpause mit *T beenden?
dialog_ceasefire			Feuerpause mit *T?
dialog_ceasefire_title			Waffenstillstand
dialog_shareradar			Öffentlicher Radar
dialog_alliance_leave			Ihre Allianz verlassen
dialog_alliance_kick			Diesen Spieler aus Ihrer Allianz schmeißen
dialog_alliance_join			Um Beitritt bei dieser Allianz ersuchen
dialog_shareradarbegin			Ihren Radar mit *T teilen?
dialog_shareradarend			Ihren Radar nicht mehr mit *T teilen?
dialog_vote			Abstimmen
dialog_abstain			Enthalten
dialog_you_requested_alliance_1			Sie haben beantragt,
dialog_you_requested_alliance_2			bei der Allianz *A einzusteigen
# A = Alliance
dialog_requested_alliance_1			*T hat beantragt
# T = Team Name
dialog_requested_alliance_2			in Ihre Allianz aufgenommen zu werden
dialog_you_requested_kick_1			Sie haben beantragt,
dialog_you_requested_kick_2			*T auszuschließen
# T = Team Name
dialog_requested_kick_1			*T hat beantragt
# T = Team Name
dialog_requested_kick_2			*T auszuschließen
# T = Team Name
dialog_vote_yes			JA
dialog_vote_no			NEIN
dialog_vote_abstain			ENTHALTEN
dialog_vote_seconds_to_vote			*S Sekunden bis Abstimmung
# S = Seconds to vote
dialog_vote_number_votes_required			*V Stimmen erforderlich
# V = Number of Vote Required
dialog_vote_succeeded			ERFOLGREICH
dialog_vote_failed			FEHLER
dialog_alliance_player			Spieler
dialog_alliance_receiving			EMPFANG
dialog_alliance_radar			Radar
dialog_alliance_sending			Senden
dialog_alliance_cease			Auflösen
dialog_alliance_fire			Feuer

dialog_placeunit			Einheit platzieren
dialog_createfleet			Flotte erstellen

dialog_credits_1			*C Credits
dialog_credits_2			Verbleibend
dialog_fleets			Flotten
dialog_units			Einheiten
dialog_place_fleet			Flotte platzieren

dialog_paused			PAUSE
dialog_gameover			SPIELENDE
dialog_saved_screenshot			/me hat Screenshot gespeichert
# /me will be replaced by the Team Name
dialog_steam_authentication_failed			Steam-Authentifizierung FEHLGESCHLAGEN\n\n
dialog_steam_logged_in_elsewhere			Zur Lösung dieses Problems müssen Sie sich bei Steam neu anmelden.\nBeenden Sie Defcon, klicken Sie auf das Menü Datei in Steam und klicken Sie dann auf „Benutzer wechseln“.\nGeben Sie Ihren Benutzernamen und Kennwort ein, um sich neu anzumelden.\n\n
dialog_steam_error			Steam-Fehler
dialog_synchronisation_error			SYNCHRONISATIONSFEHLER
dialog_connection_problem_seconds			VERBINDUNGSPROBLEM (*S SEK)
# S = Seconds of Estimated Latency
dialog_high_latency			Hohe Verzögerung
dialog_high_packet_loss			Hoher Paketverlust
dialog_defcon_x_in_x_time			DEFCON *D IN *M:*S
# D = Defcon level, M = Minutes, S = Seconds
dialog_time_remaining			*M:*S VERBLEIDEND
# M = Minutes, S = Seconds
dialog_autocam			AUTOCAM
dialog_non_playable_demo			NICHT SPIELBARE DEMO
dialog_tracking_synchronisation			TRACKINGSYNCHRONISIERUNG

dialog_steam_authentication			Steam-Authentifizierung
dialog_steam_play_defcon			Defcon spielen
dialog_steam_auth_status			STEAM-AUTHENTIFIZIERUNGSSTATUS
dialog_steam_welcome_to_defcon			Willkommen zu Defcon!
dialog_steam_may_play_demo			Sie können Sie DEMO von Defcon spielen
dialog_steam_unable_to_auth			Wir konnten Sie nicht authentifizieren.
dialog_steam_auth_progress			Steam-Authentifizierung : *P
# P = Steam Authentication Progress

dialog_steam_error_edenysteamvalidationstalled			Fehler bei Prüfung des STEAM UserID Ticket (Server konnte Authentifizierungsserver nicht kontaktieren).\n
dialog_steam_error_edenynotloggedon			Falsche Steam-Anmeldung
dialog_steam_error_edenyloggedinelsewhere			An diesem Konto wurde von einem anderen Ort angemeldet.
dialog_steam_error_edenynolicense			Dieses Steam-Konto besitzt dieses Spiel nicht. \nBitte an korrektes Steam-Konto anmelden.
dialog_steam_error_edenyinvalidversion			Clientversion inkompatibel mit Server. \nBitte verlassen und neustarten
dialog_steam_error_edenycheater			Dieses Konto ist gesperrt
dialog_steam_error_edenyunknowntext			Client hat Server verlassen
dialog_steam_error_edenyincompatibleanticheat			Sie haben ein externes Werkzeug laufen, das mit den Sicherheitsservern inkompatibel ist.
dialog_steam_error_edenymemorycorruption			Speicherfehler festgestellt.
dialog_steam_error_edenyincompatiblesoftware			Sie haben ein Software laufen, die mit den Sicherheitsservern inkompatibel ist.
dialog_steam_error_edenygeneric			Client hat Server verlassen
dialog_steam_error_unknown			Unbekannt

dialog_steam_progress_not_started			Nicht gestartet
dialog_steam_progress_started			Gestartet
dialog_steam_progress_starting_steam			Starte Steam
dialog_steam_progress_starting_steam_api			Starte Steam API
dialog_steam_progress_logging_on_to_steam			Anmeldung bei Steam
dialog_steam_progress_getting_steam_id			Empfange Steam ID
dialog_steam_progress_getting_encryption_details			Empfange Verschlüsselung
dialog_steam_progress_getting_steam2_auth			Empfange Steam2 Auth
dialog_steam_progress_getting_steam3_auth			Empfange Steam3 Auth
dialog_steam_progress_requesting_authentication			Authentifizierungsanforderung
dialog_steam_progress_success			Erfolg
dialog_steam_progress_success_demo			Erfolg (Demo)
dialog_steam_progress_failed			Fehler

dialog_warning			Warnung

dialog_enterpassword			Server-Passwort eingeben
dialog_setpassword			Server-Passwort einrichten (leer für kein Passwort)

dialog_resync_title			Neu synchronisieren
dialog_resync_button			Neu synchronisieren
dialog_resync_caption			Ihr Spiel ist nicht mehr synchron mit dem der anderen Spieler.\n\nKlicken Sie auf die Schaltfläche Neu synchronisieren, um diesen Fehler zu beheben.\n\nDies kann mehrere Minuten dauern.

team_unassigned			Nicht zugeordnet
team_ai			KI-Spieler
team_local			Lokaler Spieler
team_remote			Entfernter Spieler

team_name_not_set			[noch nicht benannt]

dialog_metaserver_failedtitle			KONNTE NICHT ZU METASERVER VERBINDEN
dialog_metaserver_failedconnect			Defcon konnte keine Verbindung zum MetaServer aufbauen.\nSie können deshalb keine Serverlisten erhalten\noder Ihren eigenen Spielserver aufführen.\n\nÜberprüfen Sie Ihre Internetverbindung und deaktivieren Sie\nalle Firewalls und andere Netzwerkhilfen, die gerade laufen.\n\nDefcon benötigt Zugriff auf die folgenden Ports:\n5009 UDP (abgehend)\n5009 UDP (eingehend)\n\nWeitere Hilfe erhalten Sie auf unserer Webseite zur Problembehebung:\nhttp://www.everybody-dies.com/support/

dialog_client_failedtitle			NETZWERKFEHLER
dialog_client_failedconnect			Defcon konnte keinen Netzwerkempfänger für den Client öffnen.\nSie können deshalb an keinen Spielen teilnehmen\noder eigene Spiele erstellen.\n\nDeaktivieren Sie\nalle Firewalls und andere Netzwerkhilfen, die gerade laufen.\n\nWeitere Hilfe erhalten Sie auf unserer Webseite zur Problembehebung:\n

dialog_server_failedtitle			KONNTE SERVER NICHT STARTEN
dialog_server_failedconnect			Defcon konnte den Server nicht starten.\nDies liegt daran, dass die erforderlichen Netzwerkverbindungen nicht verfügbar sind.\n\nDeaktivieren Sie\nalle Firewalls und andere Netzwerkhilfen, die gerade laufen.\n\nWeitere Hilfe erhalten Sie auf unserer Webseite zur Problembehebung:\n

dialog_ambxsupport                  AmBX-Unterstützung
dialog_ambxsupport_tooltip          Aktivieren Sie diese Option nur, wenn AMBX-Hardware installiert ist. Weitere Informationen finden Sie unter www.ambx.com.

dialog_screen_error_title			Bildschirmfehler
dialog_screen_error_caption			Fehler bei Einstellung der gewünschten Bildschirmauflösung von \n*W x *H, *C Farben, *S.\n\nZurückgesetzt auf Sicherheitseinstellungen\n*w x *h, *c Farben, *s.
# W = Screen Width, H = Screen Height, C = Color Depth (ie: 24 bit), S = Windowed/Fullscreen
# The four other are the safe version of their capitalized counterparts (ie: w, h ,c ,s)

dialog_restart_required_title			Neustart erforderlich
dialog_restart_required_caption			Bitte Defcon neustarten, damit Bildschirm-\neinstellungen in Kraft treten.

dialog_connection_status			Verbindungsstatus
dialog_abort_current_connection			Aktuellen Verbindungsversuch abbrechen
dialog_state_disconnected			KEINE VERBINDUNG
dialog_state_connecting			VERBINDUNGSAUFBAU...
dialog_state_connected			VERBUNDEN
dialog_state_attempts			VERSUCHE : *A
# A = Number of Connection Attempts
dialog_state_receiving			EMPFANGEN...
dialog_state_received			EMPFANGEN
dialog_state_synchronising			SYNCHRONISIERUNG...
dialog_state_synchronised			SYNCHRONISIERT
dialog_state_time_remaining			ZEIT ÜBRIG : *M.*S
# M = Minutes, S = Seconds

dialog_toolbar_units			Einheiten
dialog_toolbar_allies			Alliierte
dialog_toolbar_comms			Komm.
dialog_toolbar_scores			Punkte
dialog_toolbar_radar			Radar
dialog_toolbar_people			Menschen
dialog_toolbar_orders			Befehle
dialog_toolbar_territory			Territorium
dialog_toolbar_nukes			Raketen
dialog_toolbar_white_board			White Board
dialog_toolbar_info			Info

dialog_mod			Mods
dialog_mod_commit_title			Lade MODs...
dialog_mod_commit_mod_path			Einrichtung MOD-Pfad...\n
dialog_mod_commit_activating_mod			Aktiviere Mod '*N *V'\n
# N = MOD name, V = version
dialog_mod_commit_all_mods_off			Alle MODs deaktivieren
dialog_mod_error			FEHLER
dialog_mod_no_arrangement_change			Sie können die Einstellung KRITISCHER MODs nicht ändern,\nwährend das Spiel läuft.
dialog_mod_not_installed			(NICHT INSTALLIERT)
dialog_mod_active			aktiv
dialog_mod_clear_all			Alles löschen
dialog_mod_deactivate			DeAktiviert
dialog_mod_activate			Aktivieren
dialog_mod_click_download_mods			Hier zum Download weiterer Mods klicken
dialog_mod_click_here			Hier klicken
dialog_mod_move_up			Rauf
dialog_mod_move_down			Runter
dialog_mod_no_mod_selected			Kein MOD gewählt
dialog_mod_screenshot_not_found			Screenshot nicht gefunden
dialog_mod_install_dir			Verz installieren
dialog_mod_author			Autor
dialog_mod_website			Webseite
dialog_mod_required_all_players			Notwendig für ALLE SPIELER
dialog_error_mod_path_title			Fehler beim Einstellen des MOD-Pfads
dialog_error_mod_path_caption			Fehler beim Einstellen des MOD-Pfads.\nAuf diesem Server läuft ein MOD, den Sie nicht installiert haben.\n\nAuf dem Server laufen die folgenen MODs:\n

dialog_demo			Demo
dialog_welcome_to_demo			WILLKOMMEN ZUR DEMO
dialog_play_demo			Demo spielen
dialog_buy_now			Jetzt kaufen
dialog_buy_now_caps			JETZT KAUFEN
dialog_exit_game_time			Spiel verlassen (*T)
# T = Remaining time
dialog_exit_game			Spiel verlassen
dialog_welcome_to_demo_defcon			Willkommen zur Demo von Defcon.
dialog_demo_player_limited			Sie können eine Mehrspieler-Runde erstellen,\nes ist aber auf *P Spieler begrenzt.\nIn der VOLLVERSION können bis zu 6 Spieler teilnehmen.\n\n
# P = Number of Players
dialog_demo_player_join_limited			Sie können an einer Mehrspieler-Runde teilnehmen,\naber nur, wenn weniger als *P DEMO-Spieler daran\nbereits teilnehmen
# P = Number of Players
dialog_demo_spectate_any_game			\n\nSie können bei jedem Spiel zuschauen.

dialog_server_browser			Server-Browser
dialog_server_password			Serverkennwort
dialog_enter_ip_manually			IP manuell eingeben
dialog_filters			Filter
dialog_server_details			Server  *I : *P
# I = Ip Address, P = port
dialog_server_version_mismatch			Sie können sich an diesem Spieleserver nicht anmelden.\n\nDort läuft eine andere Version als Sie haben\nund die Versionen sind nicht kompatibel.\n\nIhre Version : *V\nVersion auf Server : *T
# V = Your version, T = Their version
dialog_cannot_join_server			Kann nicht an Server anmelden
dialog_no_join_mods_not_installed			Sie können sich an diesem Spieleserver nicht anmelden.\n\nDort laufen MODs, die Sie nicht installiert haben.\nFolgende MODs sind erforderlich:\n\n*R\n\nLaden Sie MODs hier herunter:\n
# R = Reason
dialog_no_join_own_game			Sie können sich an diesem Spieleserver nicht anmelden.\n\nDies ist Ihr eigener Spieleserver und Sie sind\nbereits angemeldet.
dialog_requesting			Anforderung...
dialog_refresh_number_server			Aktualisierung (*S)
# S = Number of Servers
dialog_server_demo_restricted			Dieser Server hat eine DEMOEINSCHRÄNKUNG.\n\nEs sind bereits zu viele Demo-Spieler am Spiel angeschlossen oder das Spiel läuft im erweiterten Spielmodus.\n\nMöchten Sie an einem Spiel dieser Größe teilnehmen, dann müssen Sie die Vollversion des Spiels kaufen.\n\nMax. Demo-Spieler pro Spiel : *N
# N = Max Demo Game Size
dialog_number_server_found			*N Server gefunden
# N = Number Server Found
dialog_retrieving_server_list			Rufe Serverliste ab...
dialog_net_location_lan			*I:*P [LAN]
# I = Ip Address, P = port
dialog_game_ended			(beendet)
dialog_demo_game_mode			Demo
dialog_mod_base_number_more			*M (*N mehr)
# M = Mod base, N = Number of Remaining Mods
dialog_server_name_incompatible			*S [INKOMPATIBEL]
# S = Server Name
dialog_server_name_mods_required			*S [MODS ERFORDERLICH]
# S = Server Name
dialog_server_name_your_server			*S [IHR SERVER]
# S = Server Name
dialog_server_name_demo_restricted			*S [DEMOEINSCHRÄNKUNG]
# S = Server Name
dialog_server_name_full			*S [VOLL]
# S = Server Name
dialog_server_name_not_responding			*S  [REAGIERT NICHT]
# S = Server Name
dialog_connected_recently			(Kürzlich verbunden)
dialog_server_browser_teams			Teams
dialog_server_browser_specs			Spez
dialog_server_browser_time			Zeit
dialog_server_browser_mods			MODs
dialog_server_browser_game_mode			Spielmodus
dialog_server_browser_server_name			Servername
dialog_server_browser_list			Liste
dialog_filter_all_games			Alle Spiele
dialog_filter_games_in_lobby			Spiele in Lobby
dialog_filter_games_in_progress			Laufende Spiele
dialog_filter_recent_servers			Letzte Server
dialog_filter_lan_games			LAN-Spiele
dialog_filter_enter_ip_manually			IP manuell eingeben
dialog_join			Einsteigen
dialog_enter_ip			[IP eingeben]
dialog_connect			Verbinden
dialog_server_ip			Server-IP
dialog_server_port			Server-Port
dialog_single_player_games			Einzelspieler-Runde
dialog_demo_games			Demospiele
dialog_default_named_servers			Standardnamenserver
dialog_show_single_player_games			Einzelspieler-Runden zeigen
dialog_show_demo_games			Demospiele zeigen
dialog_show_default_named_games			Spiele mit Standardnamen zeigen
dialog_server_name			Name
dialog_server_identity_address			Identität
dialog_server_game_name			Spiel
dialog_server_game_mode			Spielmodus
dialog_server_score_mode			Punktemodus
dialog_server_started			[gestartet]
dialog_server_ended			[beendet]
dialog_server_not_yet_started			[noch nicht gestartet]
dialog_spectators			Zuschauer
dialog_server_game_time			Spielzeit
dialog_server_scores			Punkte
dialog_retrieving_scores			Rufe Punkte an...

dialog_disconnected			Keine Verbindung
dialog_disconnect_client_leave			Sie haben das Spiel verlassen
dialog_disconnect_server_shutdown			Der Server ist heruntergefahren
dialog_disconnect_invalid_key			Sie verwenden einen ungültigen Schlüssel
dialog_disconnect_duplicate_key			Sie verwenden ein Schlüsselduplikat
dialog_disconnect_key_auth_failed			Schlüsselauthentifizierung fehlgeschlagen
dialog_disconnect_bad_password			Ungültiges Passwort eingegeben
dialog_disconnect_game_full			Spiel ist bereits voll
dialog_disconnect_kicked_from_game			Rausschmiss durch Server
dialog_disconnect_demo_full			Bereits zu viele Demo-Spieler
dialog_disconnect_unknown			Unbekannt

dialog_chat_public			Öffentlich
dialog_chat_alliance			Allianz
dialog_chat_spectators			Zuschauer
dialog_chat_channel_public			[öffentlich]
dialog_chat_channel_alliance			[Allianz]
