# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang                                English
dialog_memoryusage                  Memory Usage
dialog_swapstereo                   Swap Stereo
dialog_hw3dsound                    Hardware3d Sound
dialog_realtimeeffects              Realtime Effects
dialog_mastervolume                 Master Volume
dialog_cpuusage                     CPU Usage
dialog_cpuusageunknown              CPU Usage unknown

dialog_screenoptions                Screen
dialog_refreshrate                  Refresh Rate
dialog_windowed                     Windowed
dialog_windowedmode                 (windowed mode)
dialog_fullscreen                   Fullscreen
dialog_resolution                   Resolution
dialog_colourdepth                  Colour Depth
dialog_colourdepth_16               16 bit
dialog_colourdepth_24               24 bit
dialog_colourdepth_32               32 bit
dialog_colourdepth_X                *C bit
# C = Color Depth
dialog_zbufferdepth                 Z Buffer Depth
dialog_refreshrate_X                *R Hz
# R = Refresh Rate
dialog_resolution_W_H               *W x *H
# W = Screen Width, H = Screen Height
dialog_antialias                    Use Anti-Aliasing

dialog_networkoptions               Network
dialog_networkclientport            Client Port
dialog_networkserverport            Server Port
dialog_networkmetaserverport        MetaServer Port
dialog_networkuseportforwarding     Port Forwarding
dialog_networktracksync             Track Sync Errors
dialog_networktracksynctooltip      Enable this option to log extensive information each frame to aid in tracking Synchonisation Errors.\nWill significantly affect performance.
dialog_networkportforwardtooltip    Enable this option if you are having problems hosting or connecting to games.\nYou must manually enable port forwarding of incoming UDP data on the above ports on your NAT.
dialog_networkfailed                Failed
dialog_networkfailedgamerunning     You cannot alter your network settings\nwhile a game is running.
dialog_networksuccess               Success
dialog_networksuccessfull           Your network settings\nhave been updated.
dialog_networkporttooltip           Port number to use for communication. Valid port numbers are greater than 1024 and less than 65535.\nSpecify port 0 to let your system pick a free port for you.
dialog_troubleshooting              Having problems? Troubleshooting help
dialog_troubleshooting_tooltip      Click here to visit our troubleshooting website to help diagnose any network related problems.
dialog_no_change_while_in_game_1    You cannot alter your network settings
dialog_no_change_while_in_game_2    while a game is running

dialog_authoptions                  Authentication
dialog_paste                        Paste
dialog_paste_tooltip                Paste the key from the clipboard
dialog_auth_failed                  Authentication FAILED
dialog_bad_key_title                AUTHENTICATION FAILED
dialog_authkey_not_found            authkey not found
dialog_meta_server_details          \n\nPlease visit this url to activate your key:\nMETASERVER.INTROVERSION.CO.UK
dialog_not_permitted_start_game     You are not permitted to start a new game\nas we have been unable to Authenticate your key.\n\n\nKEY  : *K\nERROR: *E\n*M
# K = Auth Key, E = Error Message, M = Message
dialog_not_permitted_join_game      You are not permitted to join a game\nas we have been unable to Authenticate your key.\n\nKEY  : *K\nERROR: *E\n
# K = Auth Key, E = Error Message
dialog_auth_error                   Authentication Error\n*E\n\nKey: *K\n
# K = Auth Key, E = Error Message
dialog_type_authkey_or_demo_1       Please type in your Authentication Key
dialog_type_authkey_or_demo_2       or click on Play Demo
dialog_auth_status                  AUTHENTICATION STATUS
dialog_auth_status_unknown          UNKNOWN
dialog_auth_status_checking         CHECKING...
dialog_auth_status_demo_user        DEMO USER
dialog_may_play_as_demo_user        You may play as a DEMO USER if you wish.
dialog_cannot_use_mac_key_on_pc     You cannot use a Mac key in the PC version
dialog_cannot_use_pc_key_on_mac     You cannot use a PC key in the Mac version

dialog_auth_wrong_platform          Wrong platform
dialog_auth_key_dead                Key dead
dialog_auth_version_not_found       Version not found
dialog_auth_key_inactive            Key inactive
dialog_auth_version_revoked         Version revoked
dialog_auth_key_not_found           Key not found
dialog_auth_key_revoked             Key revoked
dialog_auth_key_banned              Key banned
dialog_auth_key_invalid             Key invalid
dialog_auth_unknown                 Unknown
dialog_auth_accepted                Accepted

dialog_controloptions               Other
dialog_sidescrolling                Mouse Scrolling
dialog_zoomspeed                    Zoom Speed
dialog_camdragging                  Camera Dragging
dialog_tooltips                     Show Tooltips
dialog_popupscale                   Popup Scale
dialog_panickey                     Panic Key
dialog_language                     Language
dialog_restart_required_language    Please restart Defcon for the language\nsettings to take affect.
dialog_keyboardlayout               Keyboard Layout

dialog_zoomnormal                   Normal
dialog_zoomslow                     Slow

dialog_lobby                        LOBBY
dialog_lobby_team_options           Team Options
dialog_lobby_advanced_options       Advanced Options
dialog_rename                       Rename
dialog_territories                  Territories
dialog_alliance                     Alliance
dialog_requestai                    Add AI Player
dialog_chat                         Chat
dialog_ready                        Ready
dialog_gamestart                    Game starting in *X secs
# X = Countdown in secondes before the game start
dialog_gamestart_whenready          Game will start when all players signal Ready
dialog_gamestart_youready           Game will start when YOU signal Ready
dialog_kick                         Kick
dialog_spectate                     Spectate
dialog_join_alliance                Join *A
# A = Alliance Name
dialog_closed                       closed
dialog_demo_user                    DEMO USER
dialog_number_players_max           *N players max
# N = Number Players Max
dialog_click_to_open                click to open
dialog_click_to_close               click to close
dialog_awaiting_player              awaiting player...
dialog_cpu_team_name                [CPU] *T
# T = Team Name
dialog_joining                      [Joining...]
dialog_demo_team_name               [DEMO] *T
# T = Team Name
dialog_demo_too_many_players        You cannot have this many players in your game,\nbecause you are playing the DEMO.\n\nIf you wish to participate in six player Multiplayer madness you will need to purchase the full game first.\n\nMax Demo Game Size = *N Players
# N = Max Demo Game Size
dialog_edited                       edited
dialog_locked                       locked
dialog_click_select_territory       CLICK TO SELECT TERRITORY (*T/*M)
# T = Number of Territories, M = Maximum number of Territories
dialog_random_territories           RANDOM TERRITORIES
dialog_option_locked_demo_1         This option is LOCKED
dialog_option_locked_demo_2         (DEMO Player).
dialog_option_locked_game_mode_1    This option is LOCKED
dialog_option_locked_game_mode_2    due to the current game mode.
dialog_spectators_number            SPECTATORS     (*N MAX)
# N = Maximum number of Spectators
dialog_awaiting_spectators          awaiting spectators...
dialog_internet_identity            Internet Identity
dialog_internet_identity_details    *I : *P
# I = Ip Address, P = port
dialog_lan_identity                 LAN Identity
dialog_server_identity              Server Identity
dialog_lobby_defcon                 DEFCOn
dialog_created_by_introversion      CREATED  BY  INTROVERSION  SOFTWARE
dialog_lobby_version                VERSION:
dialog_lobby_have_latest_version    You have the latest version.
dialog_lobby_newer_version          A newer version is available : *V
# V = Newer Version
dialog_lobby_click_to_download      Click here to download it
dialog_lobby_demo_limitations       DEMO LIMITATIONS
dialog_lobby_max_demo_game_size     Max Demo Game Size
dialog_lobby_max_demo_players       Max Demo Players in any game
dialog_lobby_demo_servers_permitted Demo Servers permitted
dialog_lobby_number_players         *P Players
# P = Number of Players
dialog_lobby_metaserver_time        METASERVER TIME
dialog_lobby_time_gmt               *H:*M*A (GMT)
# H = Hours, M = Minutes, A = am/pm
dialog_lobby_test_hours_start_at    YOUR TEST HOURS START AT
dialog_lobby_scheduled_test_hour    SCHEDULED TEST HOUR
dialog_lobby_occurring_now          OCCURRING NOW
dialog_lobby_next_test_hour_begins  NEXT TEST HOUR BEGINS IN
dialog_lobby_minutes                *M MINUTES
# M = Minutes
dialog_lobby_hours_minutes          *H HOURS *M MINUTES
# H = Hours, M = Minutes
dialog_lobby_authentication         AUTHENTICATION : *A
# A = Authentication Status
dialog_lobby_client_ident           CLIENT IDENTITY : *I:*P
# I = Ip Address, P = port
dialog_lobby_client_ident_unknown   CLIENT IDENTITY : UNKNOWN
dialog_lobby_server_ident           SERVER IDENTITY : *I:*P
# I = Ip Address, P = port
dialog_lobby_server_ident_unknown   SERVER IDENTITY : UNKNOWN

dialog_alliance_0                   Red
dialog_alliance_1                   Green
dialog_alliance_2                   Blue
dialog_alliance_3                   Yellow
dialog_alliance_4                   Orange
dialog_alliance_5                   Turq

dialog_alliances                    Alliances
dialog_declarewar                   End Cease Fire with *T?
dialog_ceasefire                    Cease Fire against *T?
dialog_ceasefire_title              Cease Fire
dialog_shareradar                   Share Radar
dialog_alliance_leave               Leave your Alliance
dialog_alliance_kick                Kick this player from your Alliance
dialog_alliance_join                Request to Join this Alliance
dialog_shareradarbegin              Share your Radar with *T?
dialog_shareradarend                Stop sharing Radar with *T?
dialog_vote                         Vote
dialog_abstain                      Abstain
dialog_you_requested_alliance_1     You have requested to
dialog_you_requested_alliance_2     join the *A Alliance
# A = Alliance
dialog_requested_alliance_1         *T has requested
# T = Team Name
dialog_requested_alliance_2         to join your Alliance
dialog_you_requested_kick_1         You have requested
dialog_you_requested_kick_2         to Kick *T
# T = Team Name
dialog_requested_kick_1             *T has requested
# T = Team Name
dialog_requested_kick_2             to Kick *T
# T = Team Name
dialog_vote_yes                     YES
dialog_vote_no                      NO
dialog_vote_abstain                 ABSTAIN
dialog_vote_seconds_to_vote         *S seconds to vote
# S = Seconds to vote
dialog_vote_number_votes_required   *V votes required
# V = Number of Vote Required
dialog_vote_succeeded               SUCCEEDED
dialog_vote_failed                  FAILED
dialog_alliance_player              Player
dialog_alliance_receiving           Receiving
dialog_alliance_radar               Radar
dialog_alliance_sending             Sending
dialog_alliance_cease               Cease
dialog_alliance_fire                Fire

dialog_placeunit                    Place Unit
dialog_createfleet                  Create Fleet

dialog_credits_1                    *C Credits
dialog_credits_2                    Remaining
dialog_fleets                       Fleets
dialog_units                        Units
dialog_place_fleet                  Place Fleet

dialog_paused                       PAUSED
dialog_gameover                     GAME OVER
dialog_saved_screenshot             /me saved a screenshot
# /me will be replaced by the Team Name
dialog_synchronisation_error        SYNCHRONISATION ERROR
dialog_connection_problem_seconds   CONNECTION PROBLEM (*S SECS)
# S = Seconds of Estimated Latency
dialog_high_latency                 High Latency
dialog_high_packet_loss             High Packet Loss
dialog_defcon_x_in_x_time           DEFCON *D IN *M:*S
# D = Defcon level, M = Minutes, S = Seconds
dialog_time_remaining               *M:*S REMAINING
# M = Minutes, S = Seconds
dialog_autocam                      AUTOCAM
dialog_non_playable_demo            NON-PLAYABLE DEMO
dialog_tracking_synchronisation     TRACKING SYNCHRONISATION

dialog_warning                      Warning

dialog_enterpassword                Enter Server Password
dialog_setpassword                  Set Server Password (blank for no password)

dialog_resync_title                 Resynchronise
dialog_resync_button                Resynchronise
dialog_resync_caption               Your game has fallen out of Sync with the other players.\n\nClick the Resynchronise button to attempt to repair this error.\n\nThis may take several minutes.

team_unassigned                     Unassigned
team_ai                             AI Player
team_local                          Local Player
team_remote                         Remote Player

team_name_not_set                   [name-not-set]

dialog_metaserver_failedtitle       FAILED TO CONNECT TO METASERVER
dialog_metaserver_failedconnect     Defcon has been unable to connect to the MetaServer.\nThis means you will not be able to retrieve server listings,\nor list your own game server.\n\nCheck your Internet connection is working, and try disabling\nany Firewalls and other Network tools you may be running.\n\nDefcon needs access to the following ports:\n5009 UDP (outgoing)\n5009 UDP (incoming)\n\nFor more help consult our troubleshooting guide:\n

dialog_client_failedtitle           NETWORK ERROR
dialog_client_failedconnect         Defcon has been unable to open a Network Listener for the Client.\nThis means you will not be able to participate in any games,\nor create your own.\n\nTry disabling any Firewalls and other Network tools you may be running.\n\nFor more help consult our troubleshooting guide:\n

dialog_server_failedtitle           FAILED TO START SERVER
dialog_server_failedconnect         Defcon has been unable to start a Server.\nThis is because the required Network Connections are not available.\n\nTry disabling any Firewalls and other Network tools you may be running.\n\nFor more help consult our troubleshooting guide:\n

dialog_ambxsupport                  amBX Support
dialog_ambxsupport_tooltip          Enable this option only if you have AMBX Hardware installed.  For more information visit www.ambx.com.

dialog_screen_error_title           Screen Error
dialog_screen_error_caption         Failed to set requested screen resolution of\n*W x *H, *C colour, *S.\n\nRestored to safety settings of\n*w x *h, *c colour, *s.
# W = Screen Width, H = Screen Height, C = Color Depth (ie: 24 bit), S = Windowed/Fullscreen
# The four other are the safe version of their capitalized counterparts (ie: w, h ,c ,s)

dialog_restart_required_title       Restart Required
dialog_restart_required_caption     Please restart Defcon for the screen\nsettings to take affect.

dialog_connection_status            Connection Status
dialog_abort_current_connection     Abort the current connection attempt
dialog_state_disconnected           DISCONNECTED
dialog_state_connecting             CONNECTING...
dialog_state_connected              CONNECTED
dialog_state_attempts               ATTEMPTS : *A
# A = Number of Connection Attempts
dialog_state_receiving              RECEIVING...
dialog_state_received               RECEIVED
dialog_state_synchronising          SYNCHRONISING...
dialog_state_synchronised           SYNCHRONISED
dialog_state_time_remaining         TIME REMAINING : *M.*S
# M = Minutes, S = Seconds

dialog_toolbar_units                units
dialog_toolbar_allies               allies
dialog_toolbar_comms                comms
dialog_toolbar_scores               scores
dialog_toolbar_radar                radar
dialog_toolbar_people               people
dialog_toolbar_orders               orders
dialog_toolbar_territory            territory
dialog_toolbar_nukes                nukes
dialog_toolbar_white_board          white board
dialog_toolbar_info                 info

dialog_mod                          Mods
dialog_mod_commit_title             LOADING MODS...
dialog_mod_commit_mod_path          Setting MOD path...\n
dialog_mod_commit_activating_mod    Activating mod '*N *V'\n
# N = MOD name, V = version
dialog_mod_commit_all_mods_off      All MODs de-activated
dialog_mod_error                    ERROR
dialog_mod_no_arrangement_change    You cannot change the arrangement of CRITICAL mods\nwhile a game is in progress.
dialog_mod_not_installed            (NOT INSTALLED)
dialog_mod_active                   active
dialog_mod_clear_all                Clear All
dialog_mod_deactivate               DeActivate
dialog_mod_activate                 Activate
dialog_mod_click_download_mods      Click here to download more mods
dialog_mod_click_here               Click here
dialog_mod_move_up                  Move Up
dialog_mod_move_down                Move Down
dialog_mod_no_mod_selected          No mod selected
dialog_mod_screenshot_not_found     Screenshot not found
dialog_mod_install_dir              Install Dir
dialog_mod_author                   Author
dialog_mod_website                  Website
dialog_mod_required_all_players     Required by ALL PLAYERS
dialog_error_mod_path_title         Error setting MOD path
dialog_error_mod_path_caption       Error setting MOD path.\nThis server is running a MOD which you do not have installed.\n\nThe server is running the following mods:\n

dialog_demo                         Demo
dialog_welcome_to_demo              WELCOME TO THE DEMO
dialog_play_demo                    Play Demo
dialog_buy_now                      Buy Now
dialog_buy_now_caps                 BUY NOW
dialog_exit_game_time               Exit Game (*T)
# T = Remaining time
dialog_exit_game                    Exit Game
dialog_welcome_to_demo_defcon       Welcome to the DEMO of Defcon.
dialog_demo_player_limited          You can create a multiplayer game\nbut you will be limited to *P players max.\nIn the FULL GAME you can have up to 6 players.\n\n
# P = Number of Players
dialog_demo_player_join_limited     You can join an existing multiplayer game\nbut only if there are less than *P DEMO players\nalready connected.
# P = Number of Players
dialog_demo_spectate_any_game       \n\nYou can spectate any game.

dialog_server_browser               Server Browser
dialog_server_password              Server Password
dialog_enter_ip_manually            Enter IP Manually
dialog_filters                      Filters
dialog_server_details               Server  *I : *P
# I = Ip Address, P = port
dialog_server_version_mismatch      You cannot join this game server.\n\nThey are running a different version to you\nand the versions are not compatible.\n\n\nYour version  : *V\nTheir version : *T
# V = Your version, T = Their version
dialog_cannot_join_server           Cannot Join Server
dialog_no_join_mods_not_installed   You cannot join this game server.\n\nThey are running MODS that you do not have installed.\nThese MODs are required:\n\n*R\n\nYou can download MODs from\n
# R = Reason
dialog_no_join_own_game             You cannot join this game server.\n\nThis is your own game server and you are\nalready connected to it.
dialog_requesting                   Requesting...
dialog_refresh_number_server        Refresh (*S)
# S = Number of Servers
dialog_server_demo_restricted       This server is DEMO RESTRICTED.\n\nThis means there are already too many Demo players connected to the game, or the game is running in an advanced game mode.\n\nIf you wish to participate in games of this size you will need to buy the full game.\n\nMax Demo players per game : *N
# N = Max Demo Game Size
dialog_number_server_found          *N server(s) found
# N = Number Server Found
dialog_retrieving_server_list       Retrieving Server List...
dialog_net_location_lan             *I:*P [LAN]
# I = Ip Address, P = port
dialog_game_ended                   (ended)
dialog_demo_game_mode               demo
dialog_mod_base_number_more         *M (*N more)
# M = Mod base, N = Number of Remaining Mods
dialog_server_name_incompatible     *S [INCOMPATIBLE]
# S = Server Name
dialog_server_name_mods_required    *S [MODS REQUIRED]
# S = Server Name
dialog_server_name_your_server      *S [YOUR SERVER]
# S = Server Name
dialog_server_name_demo_restricted  *S [DEMO-RESTRICTED]
# S = Server Name
dialog_server_name_full             *S [FULL]
# S = Server Name
dialog_server_name_not_responding   *S  [NOT RESPONDING]
# S = Server Name
dialog_connected_recently           (Connected Recently)
dialog_server_browser_teams         Teams
dialog_server_browser_specs         Specs
dialog_server_browser_time          Time
dialog_server_browser_mods          MODs
dialog_server_browser_game_mode     Game Mode
dialog_server_browser_server_name   Server Name
dialog_server_browser_list          List
dialog_filter_all_games             All Games
dialog_filter_games_in_lobby        Games In Lobby
dialog_filter_games_in_progress     Games In Progress
dialog_filter_recent_servers        Recent Servers
dialog_filter_lan_games             LAN Games
dialog_filter_enter_ip_manually     Enter IP Manually
dialog_join                         Join
dialog_enter_ip                     [enter ip]
dialog_connect                      Connect
dialog_server_ip                    Server IP
dialog_server_port                  Server Port
dialog_single_player_games          Single Player Games
dialog_demo_games                   Demo Games
dialog_default_named_servers        Default Named Servers
dialog_show_single_player_games     Show Single player games
dialog_show_demo_games              Show Demo games
dialog_show_default_named_games     Show Default named games
dialog_server_name                  Name
dialog_server_identity_address      Identity
dialog_server_game_name             Game
dialog_server_game_mode             Game Mode
dialog_server_score_mode            Score Mode
dialog_server_started               [started]
dialog_server_ended                 [ended]
dialog_server_not_yet_started       [not yet started]
dialog_spectators                   Spectators
dialog_server_game_time             Game Time
dialog_server_scores                Scores
dialog_retrieving_scores            Retrieving scores...

dialog_disconnected                 Disconnected
dialog_disconnect_client_leave      You have left the game
dialog_disconnect_server_shutdown   The server has shutdown
dialog_disconnect_invalid_key       You are using an invalid key
dialog_disconnect_duplicate_key     You are using a duplicate key
dialog_disconnect_key_auth_failed   Key authentication failed
dialog_disconnect_bad_password      Invalid Password Entered
dialog_disconnect_game_full         Game is already full
dialog_disconnect_kicked_from_game  Kicked by the Server
dialog_disconnect_demo_full         Too many Demo Players already
dialog_disconnect_unknown           Unknown

dialog_chat_public                  Public
dialog_chat_alliance                Alliance
dialog_chat_spectators              Spectators
dialog_chat_channel_public          [public]
dialog_chat_channel_alliance        [alliance]
dialog_chat_channel_spectators      [spectators]
dialog_chat_channel_private         [private]
dialog_chat_channel_to_team_name    [to *T]
# T = Team Name

dialog_white_board_draw_erase       draw/erase
dialog_white_board_clear_all        clear all
dialog_white_board_show_all         show all

dialog_worldstatus_defcon           DEFCON
dialog_worldstatus_defcon_x         DEFCON *D
# D = Defcon level
dialog_worldstatus_time_remain_hms  Time Remaining : *Hh *Mm *Ss
# H = Hours, M = Minutes, S = Seconds
dialog_worldstatus_time_remain_ms   Time Remaining : *Mm *Ss
# M = Minutes, S = Seconds
dialog_worldstatus_show_stats       Show Stats
dialog_worldstatus_scoremode        ScoreMode
dialog_worldstatus_cpu_team_name    [CPU]*T
# T = Team Name
dialog_worldstatus_left_team_name   [LEFT]*T
# T = Team Name
dialog_worldstatus_demo_team_name   [DEMO]*T
# T = Team Name
dialog_worldstatus_out_of_sync      OutOfSync
dialog_worldstatus_out_of_sync_2    out of sync
dialog_worldstatus_spectator_join   Spectator (joining...)
dialog_worldstatus_superpower       Superpower
dialog_worldstatus_kills            Kills
dialog_worldstatus_deaths           Deaths
dialog_worldstatus_survivors        Survivors
dialog_worldstatus_collateral       Collateral
dialog_worldstatus_nukes            Nukes
dialog_worldstatus_score            SCORE
dialog_worldstatus_points_value     Points Value:
dialog_worldstatus_pop_in_millions  *P m
# P = Population in millions
dialog_worldstatus_classified       [classified]
dialog_stats                        Stats

dialog_casualties_city              City
dialog_casualties_strikes           Strikes
dialog_casualties_deaths            Deaths
dialog_casualties_in_million        *C Million
# C = Casualties in Million

dialog_network_title                Network
dialog_network_server_seqid         Server SeqID       *S
# S = Server sequence
dialog_network_server_send          Server Send        *R Kb/sec
# R = Send Rate
dialog_network_server_receive       Server Receive     *R Kb/sec
# R = Receive Rate
dialog_network_id                   ID
dialog_network_ip_port              IP:Port
dialog_network_seqid                SeqID
dialog_network_seqid_number         SeqID *S
# S = Sequence Id
dialog_network_name                 Name
dialog_network_status               Status
dialog_network_lost_con             Lost Con...*Ss
# S = Number of seconds since the connection was lost
dialog_network_synching             Synching...*P
# P = Percentage done Synching
dialog_network_ping                 Ping *Pms
# M = Ping time in miniseconds
dialog_network_spec                 (spec)
dialog_network_empty                Empty
dialog_network_sequence_msg_queue   Sequence messages in queue. Ideal is 0 or 1 filled, no gaps.
dialog_network_svr_known_seqid      Server Known     SeqID   *S
# S = Sequence Id
dialog_network_svr_estimated_seqid  Server Estimated SeqID   *S
# S = Sequence Id
dialog_network_estimated_latency    Estimated Latency : *L secs
# L = Estimated Latency
dialog_network_client_seqid         Client SEQID       *S
# S = Sequence Id
dialog_network_client_send          Client Send        *R Kb/sec
# R = Send Rate
dialog_network_client_receive       Client Receive     *R Kb/sec
# R = Receive Rate

dialog_profile_title                Profiler
dialog_profile_toggle_glfinish      Toggle glFinish
dialog_profile_reset_history        Reset History
dialog_profile_min                  Min
dialog_profile_avg                  Avg
dialog_profile_max                  Max

dialog_c2s_team_renamed             *T renamed to *N
# T = Team Name Old, N = Team Name New
dialog_c2s_team_joined_game         *T has joined the game
# T = Team Name
dialog_c2s_default_name_spectator   Spectator
dialog_c2s_default_name_player      Player *T
# T = Team Id

dialog_world_new_spec_connecting    A new spectator is connecting
dialog_world_team_left_game         *T has Left the Game
# T = Team Name
dialog_world_spec_left_game         Spectator *T has Left the Game
# T = Team Name
dialog_world_rejoined               *T REJOINED
# T = Team Name
dialog_world_disconnected           *T DISCONNECTED
# T = Team Name
dialog_world_dropped                *T DROPPED
# T = Team Name
dialog_world_kicked                 *T KICKED
# T = Team Name

dialog_mapr_fps                     *Ffps
# F = Frame per seconds (fps)
dialog_mapr_city_population         POPULATION : *P MILLION
# P = City Population
dialog_mapr_city_dead               DEAD       : *D MILLION
# D = City Dead Population
dialog_mapr_mode                    *M MODE
# M = Current State
dialog_mapr_secs                    *S SECS
# S = Seconds
dialog_mapr_empty                   EMPTY
dialog_mapr_cancel_all_orders       CANCEL ALL ORDERS
dialog_mapr_not_before_defcon_x     NOT BEFORE DEFCON *D
# D = Defcon level
dialog_mapr_defcon_x_required       DEFCON *D REQUIRED
# D = Defcon level
dialog_mapr_out_of_range            OUT OF RANGE
dialog_mapr_combat_range            COMBAT RANGE
dialog_mapr_fuel_range              FUEL RANGE
dialog_mapr_nukes_in_queue          *N IN QUEUE
# N = Number of Nukes
dialog_mapr_nukes_in_flight         *N IN FLIGHT
# N = Number of Nukes

dialog_style                        Style
dialog_style_editor                 Style Editor
dialog_style_primary                primary
dialog_style_secondary              secondary
dialog_style_red                    Red
dialog_style_green                  Green
dialog_style_blue                   Blue
dialog_style_alpha                  Alpha
dialog_style_colour_editor          Colour Editor *I *P
# I = Real Index, P = Primary (0/1)
dialog_style_failed_load_style      Failed to load style\n
dialog_style_style_saved            Style saved to\n
dialog_style_failed_save_style      Failed to save style to\n
dialog_style_col_primary            Primary
dialog_style_col_secondary          Secondary
dialog_style_col_horiz              Horiz
dialog_style_col_ngtive             Ngtive
dialog_style_col_caps               Caps
dialog_style_col_size               Size
dialog_style_col_font               Font


# =============================================================================
# Tooltips
# =============================================================================

tooltip_timeaccel0                  Pause Game
tooltip_timeaccel1                  Run in Real Time
tooltip_timeaccel2                  Accelerate Time\n(5x Real Time)
tooltip_timeaccel3                  Accelerate Time\n(10x Real Time)
tooltip_timeaccel4                  Accelerate Time\n(20x Real Time)

tooltip_worldstatus_x_faster_realtime       *Sx Realtime
# S = Number of time the game speed is faster than Realtime
tooltip_worldstatus_key_shortcut_0          \nKey shortcut: 0\n
tooltip_worldstatus_key_shortcut_1          \nKey shortcut: 1\n
tooltip_worldstatus_key_shortcut_2          \nKey shortcut: 2\n
tooltip_worldstatus_key_shortcut_3          \nKey shortcut: 3\n
tooltip_worldstatus_key_shortcut_4          \nKey shortcut: 4\n
tooltip_worldstatus_players_request_speed   Players requesting speed:
tooltip_worldstatus_no_team_request_speed   \nNone
tooltip_worldstatus_cannot_request_speed    You cannot request this game speed

tooltip_defcon5                     DEFCON 5\nNo hostile actions permitted\nEnemy units are invisible on Radar
tooltip_defcon4                     DEFCON 4\nEnemy units become visible on Radar
tooltip_defcon3                     DEFCON 3\nNaval combat authorised\nAir combat authorised
tooltip_defcon2                     DEFCON 2
tooltip_defcon1                     DEFCON 1\nNuclear combat authorised

tooltip_toolbar_whiteboard          Toggle White Board
tooltip_toolbar_whiteboard_disabled White Board is disabled due to the older version of the host
tooltip_toolbar_radar               Toggle Radar Coverage
tooltip_toolbar_pop                 Toggle Population Density
tooltip_toolbar_alliances           Show Alliances window
tooltip_toolbar_units               Show Unit Panel
tooltip_toolbar_score               Show Scores window
tooltip_toolbar_comms               Show Comms window
