# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang                                Polski
dialog_watershaded					Cieniowana

dialog_soundoptions                 DŸwiêk
dialog_unavailable                  Niedostêpne
dialog_soundlibrary                 Bibl. dŸwiêków
dialog_directsound                  DirectSound
dialog_softwaresound                DŸwiêk programowy
dialog_mixfrequency                 Jakoœæ dŸwiêku
dialog_11khz                        11 Khz niska jakoœæ
dialog_22khz                        22 Khz œrednia jakoœæ
dialog_44khz                        44 Khz wysoka jakoœæ
dialog_numchannels                  Iloœæ kana³ów
dialog_8channels                    8 kana³ów
dialog_16channels                   16 kana³ów
dialog_32channels                   32 kana³y
dialog_64channels                   64 kana³y
dialog_memoryusage                  U¿ycie pamiêci
dialog_swapstereo                   Zamieñ stereo
dialog_hw3dsound                    Sprzêtowy dŸwiêk 3d
dialog_realtimeeffects              Efekty w czasie rzecz.
dialog_mastervolume                 G³oœnoœæ
dialog_cpuusage                     U¿ycie CPU
dialog_cpuusageunknown              U¿ycie CPU nieznane

dialog_screenoptions                Opcje ekranu
dialog_refreshrate                  Odœwie¿anie
dialog_windowed                     W oknie
dialog_windowedmode                 (tryb w oknie)
dialog_fullscreen                   Pe³ny ekran
dialog_resolution                   Rozdzielczoœæ
dialog_colourdepth                  G³êbia kolorów
dialog_colourdepth_16               16 bitów
dialog_colourdepth_24               24 bitów
dialog_colourdepth_32               32 bitów
dialog_colourdepth_X                *C bitów
# C = Color Depth
dialog_zbufferdepth                 G³êb. buf. Z
dialog_refreshrate_X                *R Hz
# R = Refresh Rate
dialog_resolution_W_H               *W x *H
# W = Screen Width, H = Screen Height
dialog_antialias                    Antyaliasing

dialog_networkoptions               Sieæ
dialog_networkclientport            Port klienta
dialog_networkserverport            Port serwera
dialog_networkmetaserverport        Port metaserwera
dialog_networkuseportforwarding     Port Forwarding
dialog_networktracksync             ŒledŸ b³êdy synchr.
dialog_networktracksynctooltip      Wybierz tê opcjê, by logowaæ dok³. informacje do pomocy w œledzeniu b³êdów synchronizacji.\nZnacznie wp³ywa na wydajnoœæ.
dialog_networkportforwardtooltip    Wybierz tê opcjê, jeœli masz problemy w hostowaniu lub pod³¹czaniu do gier.\nMusisz rêcznie ustawiæ przekazywanie przychodz¹cych danych UDP na powy¿sze porty.
dialog_networkfailed                Nie uda³o siê
dialog_networkfailedgamerunning     Nie mo¿esz zmieniaæ ustawieñ sieci\nw trakcie trwania gry.
dialog_networksuccess               Uda³o siê
dialog_networksuccessfull           Ustawienia Twojej sieci\nzosta³y zaktualizowane.
dialog_networkporttooltip           Podaj nr portu do komunikacji (od 1024 do 65535).\nWpisz 0 jeœli system ma wybraæ port za Ciebie.
dialog_troubleshooting              Problemy? Pomoc techniczna (ang.).
dialog_troubleshooting_tooltip      Kliknij tu, by przejœæ do strony pomocy technicznej (ang.), która pomo¿e Ci zdiagnozowaæ problemy z sieci¹..
dialog_no_change_while_in_game_1    Nie mo¿esz zmieniaæ ustawieñ
dialog_no_change_while_in_game_2    sieci podczas trwania gry

dialog_authoptions                  Wpisz kod
dialog_paste                        Wklej
dialog_paste_tooltip                Wklej klucz ze schowka
dialog_auth_failed                  Uwierzytelnianie NIEUDANE
dialog_bad_key_title                UWIERZYTELNIANIE NIEUDANE
dialog_authkey_not_found            klucz nie znaleziony
dialog_meta_server_details          \n\nWejdŸ na tê stronê, by aktywowaæ klucz:\nMETASERVER.INTROVERSION.CO.UK
dialog_not_permitted_start_game     Nie mo¿esz rozpocz¹æ nowej gry\nbowiem nie mo¿na uwierzytelniæ Twojego klucza.\n\n\nKLUCZ : *K\nB£¥D: *E\n*M
# K = Auth Key, E = Error Message, M = Message
dialog_not_permitted_join_game      Nie mo¿esz do³¹czyæ do gry\nbowiem nie mo¿na uwierzytelniæ Twojego klucza.\n\n\nKLUCZ : *K\nB£¥D: *E\n*M
# K = Auth Key, E = Error Message
dialog_auth_error                   B³¹d uwierzytelnienia\n*E\n\nKlucz: *K\n
# K = Auth Key, E = Error Message
dialog_type_authkey_or_demo_1       Wpisz swój klucz uwierzytelniaj¹cy
dialog_type_authkey_or_demo_2       lub kliknij Graj Demo
dialog_auth_status                  STATUS UWIERZYTELNIENIA
dialog_auth_status_unknown          NIEZNANY
dialog_auth_status_checking         SPRAWDZAM...
dialog_auth_status_demo_user        U¯YTKOWNIK DEMO
dialog_may_play_as_demo_user        Mo¿esz graæ jako u¿ytkownik DEMO.
dialog_cannot_use_mac_key_on_pc     Nie mo¿esz u¿ywaæ klucza z Maca w wersji PC
dialog_cannot_use_pc_key_on_mac     Nie mo¿esz u¿ywaæ klucza z PC w wersji Mac

dialog_auth_wrong_platform          Z³a platforma
dialog_auth_key_dead                Klucz niewa¿ny
dialog_auth_version_not_found       Nie ma takiej wersji
dialog_auth_key_inactive            Klucz nieaktywny
dialog_auth_version_revoked         Wersja uniewa¿niona
dialog_auth_key_not_found           Klucz nie znaleziony
dialog_auth_key_revoked             Klucz uniewa¿niony
dialog_auth_key_banned              Klucz zablokowany
dialog_auth_key_invalid             Z³y klucz
dialog_auth_unknown                 Nieznany
dialog_auth_accepted                Zaakceptowany

dialog_controloptions               Inne
dialog_sidescrolling                Przewij. mysz¹
dialog_zoomspeed                    Szybkoœæ zoomu
dialog_camdragging                  Przesuw. kamery
dialog_tooltips                     Podpowiedzi
dialog_popupscale                   Wielkoœæ pop-upów
dialog_panickey                     Panic Key
dialog_language                     Jêzyk
dialog_restart_required_language    Zrestartuj Defcon, by dokoñczyæ\nzmianê jêzyka
dialog_keyboardlayout               Ustaw. klawiatury

dialog_zoomnormal                   Normalny
dialog_zoomslow                     Wolny

dialog_lobby                        LOBBY
dialog_lobby_team_options           Opcje dru¿yn.
dialog_lobby_advanced_options       Opcje zaawansowane
dialog_rename                       Zmieñ nazwê
dialog_territories                  Terytoria
dialog_alliance                     Sojusz
dialog_requestai                    Dodaj gracza AI
dialog_chat                         Czat
dialog_ready                        Gotów
dialog_gamestart                    Pocz¹tek gry za *X sek.
# X = Countdown in secondes before the game start
dialog_gamestart_whenready          Gra rozpocznie siê, gdy wszyscy klikn¹ "Gotów"
dialog_gamestart_youready           Gra rozpocznie siê, gdy TY klikniesz "Gotów"
dialog_kick                         Wyrzuæ
dialog_spectate                     Kibic
dialog_join_alliance                Do³¹cz *A
# A = Alliance Name
dialog_closed                       zamkniête
dialog_demo_user                    U¯YTKOWNIK DEMO
dialog_number_players_max           Najwy¿ej *N graczy
# N = Number Players Max
dialog_click_to_open                kliknij, by otworzyæ
dialog_click_to_close               kliknij, by zamkn¹æ
dialog_awaiting_player              oczekujê na gracza...
dialog_cpu_team_name                [CPU] *T
# T = Team Name
dialog_joining                      [Do³¹cza...]
dialog_demo_team_name               [DEMO] *T
# T = Team Name
dialog_demo_too_many_players        Nie mo¿esz graæ w tyle osób,\nbo to tryb DEMO.\n\nJeœli chcesz graæ w szeœcioosobowy Ob³êd Multiplayer, wprowadŸ klucz produktu.\n\nMaks. rozmiar gry demo = *N graczy
# N = Max Demo Game Size
dialog_edited                       edycja
dialog_locked                       zablokowany
dialog_click_select_territory       KLIKNIJ I WYBIERZ TERYTORIUM (*T/*M)
# T = Number of Territories, M = Maximum number of Territories
dialog_random_territories           LOSOWE TERYTORIA
dialog_option_locked_demo_1         Ta opcja jest ZABLOKOWANA
dialog_option_locked_demo_2         (Gracz DEMO).
dialog_option_locked_game_mode_1    Ta opcja jest ZABLOKOWANA
dialog_option_locked_game_mode_2    z powodu aktualnego trybu gry.
dialog_spectators_number            KIBICE     (*N MAKS.)
# N = Maximum number of Spectators
dialog_awaiting_spectators          czekam na kibiców...
dialog_internet_identity            Sieæ
dialog_internet_identity_details    *I : *P
# I = Ip Address, P = port
dialog_lan_identity                 Nazwa sieci
dialog_server_identity              Nazwa serwera
dialog_lobby_defcon                 DEFCON
dialog_created_by_introversion      INTROVERSION SOFTWARE/PLAY SP. Z O.O.
dialog_lobby_version                WERSJA:
dialog_lobby_have_latest_version    Masz najnowsz¹ wersjê.
dialog_lobby_newer_version          Dostêpna jest nowsza wersja : *V
# V = Newer Version
dialog_lobby_click_to_download      Kliknij, by œci¹gn¹æ patch
dialog_lobby_demo_limitations       LIMIT DEMO
dialog_lobby_max_demo_game_size     Maks. rozmiar gry Demo
dialog_lobby_max_demo_players       Maks. graczy Demo w grze
dialog_lobby_demo_servers_permitted Serwery demo dozwolone
dialog_lobby_number_players         *P graczy
# P = Number of Players
dialog_lobby_metaserver_time        CZAS METASERVERA
dialog_lobby_time_gmt               *H:*M*A (GMT)
# H = Hours, M = Minutes, A = am/pm
dialog_lobby_test_hours_start_at    TESTY ROZPOCZYNAJ¥ SIÊ O
dialog_lobby_scheduled_test_hour    ZAPLANOWANA GODZINA TESTÓW
dialog_lobby_occurring_now          TRWA TERAZ
dialog_lobby_next_test_hour_begins  POCZ¥TEK NASTÊPNYCH TESTÓW ZA
dialog_lobby_minutes                *M MINUT
# M = Minutes
dialog_lobby_hours_minutes          *H GODZIN *M MINUT
# H = Hours, M = Minutes
dialog_lobby_authentication         UWIERZYTELNIANIE : *A
# A = Authentication Status
dialog_lobby_client_ident           TO¯SAMOŒÆ KLIENTA : *I:*P
# I = Ip Address, P = port
dialog_lobby_client_ident_unknown   TO¯SAMOŒÆ KLIENTA : NIEZNANA
dialog_lobby_server_ident           TO¯SAMOŒÆ SERWERA : *I:*P
# I = Ip Address, P = port
dialog_lobby_server_ident_unknown   TO¯SAMOŒÆ SERWERA : NIEZNANA

dialog_alliance_0                   Czerw.
dialog_alliance_1                   Ziel.
dialog_alliance_2                   Nieb.
dialog_alliance_3                   ¯ó³ty
dialog_alliance_4                   Pom.
dialog_alliance_5                   Turk.

dialog_alliances                    Sojusze
dialog_declarewar                   Koniec zaw. broni z *T?
dialog_ceasefire                    Zawieszenie broni z *T?
dialog_ceasefire_title              Zawieszenie broni
dialog_shareradar                   Dzielenie radarów
dialog_alliance_leave               Opuœæ sojusz
dialog_alliance_kick                Wyrzuæ tego gracza ze swojego sojuszu
dialog_alliance_join                Zg³oœ chêæ do³¹czenia do sojuszu
dialog_shareradarbegin              Dzielisz radar z *T?
dialog_shareradarend                Wstrzymaæ dzielenie radaru z *T?
dialog_vote                         G³osuj
dialog_abstain                      Wstrzymaj siê
dialog_you_requested_alliance_1     Chcesz do³¹czyæ
dialog_you_requested_alliance_2     do sojuszu *A
# A = Alliance
dialog_requested_alliance_1         *T chce do³¹czyæ
# T = Team Name
dialog_requested_alliance_2         do Twojego sojuszu
dialog_you_requested_kick_1         Chcesz
dialog_you_requested_kick_2         wyrzuciæ *T
# T = Team Name
dialog_requested_kick_1             *T poprosi³
# T = Team Name
dialog_requested_kick_2             o wyrzucenie *T
# T = Team Name
dialog_vote_yes                     TAK
dialog_vote_no                      NIE
dialog_vote_abstain                 WSTRZYM.
dialog_vote_seconds_to_vote         *S sekund na g³os
# S = Seconds to vote
dialog_vote_number_votes_required   Potrzebne *V g³osów
# V = Number of Vote Required
dialog_vote_succeeded               UDA£O SIÊ
dialog_vote_failed                  NIE UDA£O SIÊ
dialog_alliance_player              Gracz
dialog_alliance_receiving           Odbier.
dialog_alliance_radar               Radar
dialog_alliance_sending             Wysy³.
dialog_alliance_cease               Wstrzymaj
dialog_alliance_fire                Ogieñ

dialog_placeunit                    Ustaw jednostkê
dialog_createfleet                  Stwórz flotê

dialog_credits_1                    *C kredytów
dialog_credits_2                    Pozosta³o
dialog_fleets                       Floty
dialog_units                        Poprz. ekran
dialog_place_fleet                  Ustaw flotê

dialog_paused                       PAUZA
dialog_gameover                     KONIEC GRY
dialog_saved_screenshot             /me zachowa³ screenshot
# /me will be replaced by the Team Name
#dialog_steam_authentication_failed  Steam Authentication FAILED\n\n
#dialog_steam_logged_in_elsewhere    To fix this problem you must log back into Steam.\nExit Defcon, click on the File Menu in Steam, then click on 'Change User'.\nEnter your username and password to log back in.\n\n
#dialog_steam_error                  Steam Error
dialog_synchronisation_error        B£¥D SYNCHRONIZACJI
dialog_connection_problem_seconds   PROBLEM Z PO£¥CZENIEM (*S SEK)
# S = Seconds of Estimated Latency
dialog_high_latency                 Du¿e opóŸnienie
dialog_high_packet_loss             Du¿a strata pakietów
dialog_defcon_x_in_x_time           DEFCON *D ZA *M:*S
# D = Defcon level, M = Minutes, S = Seconds
dialog_time_remaining               POZOSTA£O *M:*S 
# M = Minutes, S = Seconds
dialog_autocam                      AUTOM. KAMERA
dialog_non_playable_demo            NIEGRYWALNE DEMO
dialog_tracking_synchronisation     SYNCHRONIZACJA ŒLEDZENIA

#dialog_steam_authentication         Steam Authentication
#dialog_steam_play_defcon            Play Defcon
#dialog_steam_auth_status            STEAM AUTHENTICATION STATUS
#dialog_steam_welcome_to_defcon      Welcome to Defcon!
#dialog_steam_may_play_demo          You may play the DEMO of Defcon
#dialog_steam_unable_to_auth         We have been unable to Authenticate you.
#dialog_steam_auth_progress          Steam Authentication : *P
# P = Steam Authentication Progress

#dialog_steam_error_edenysteamvalidationstalled      Error verifying STEAM UserID Ticket(server was unable to contact the authentication server).\n
#dialog_steam_error_edenynotloggedon                 Invalid Steam Logon
#dialog_steam_error_edenyloggedinelsewhere           This account has been logged into in another location 
#dialog_steam_error_edenynolicense                   This Steam account does not own this game. \nPlease login to the correct Steam account.
#dialog_steam_error_edenyinvalidversion              Client version incompatible with server. \nPlease exit and restart
#dialog_steam_error_edenycheater                     This account is banned
#dialog_steam_error_edenyunknowntext                 Client dropped by server
#dialog_steam_error_edenyincompatibleanticheat       You are running an external tool that is incompatible with Secure servers.
#dialog_steam_error_edenymemorycorruption            Memory corruption detected.
#dialog_steam_error_edenyincompatiblesoftware        You are running software that is not compatible with Secure servers.
#dialog_steam_error_edenygeneric                     Client dropped by server
#dialog_steam_error_unknown                          Unknown

#dialog_steam_progress_not_started                   Not Started
#dialog_steam_progress_started                       Started
#dialog_steam_progress_starting_steam                Starting Steam
#dialog_steam_progress_starting_steam_api            Starting Steam API
#dialog_steam_progress_logging_on_to_steam           Logging On To Steam
#dialog_steam_progress_getting_steam_id              Getting Steam Id
#dialog_steam_progress_getting_encryption_details    Getting Encryption Details
#dialog_steam_progress_getting_steam2_auth           Getting Steam2 Auth
#dialog_steam_progress_getting_steam3_auth           Getting Steam3 Auth
#dialog_steam_progress_requesting_authentication     Requesting Authentication
#dialog_steam_progress_success                       Success
#dialog_steam_progress_success_demo                  Success (Demo)
#dialog_steam_progress_failed                        Failed

dialog_warning                      Uwaga

dialog_enterpassword                WprowadŸ has³o serwera
dialog_setpassword                  Ustaw has³o serwera (puste, jeœli nie chcesz has³a)

dialog_resync_title                 Resynchronizacja
dialog_resync_button                Resynchr.
dialog_resync_caption               Rozsynchronizowa³eœ siê z pozosta³ymi graczami.\n\nKliknij "Resynchr.", by spróbowaæ pozbyæ siê problemu.\n\nMo¿e to potrwaæ kilka minut.

team_unassigned                     Nieprzydzielony
team_ai                             Gracz AI
team_local                          Gracz lokalny
team_remote                         Gracz zdalny

team_name_not_set                   [nazwa-nie-ustawiona]

dialog_metaserver_failedtitle       NIE UDA£O SIÊ PO£¥CZYÆ Z METASERWEREM
dialog_metaserver_failedconnect     Defcon nie móg³ po³¹czyæ siê z Metaserwerem.\nOznacza to, ¿e nie mo¿esz odczytaæ listy serwerów, \nani zobaczyæ w³asnego serwera.\n\nSprawdŸ, czy jesteœ po³¹czony z internetem, ew. wy³¹cz\nfirewalle i inne narzêdzia sieciowe.\n\nDefcon potrzebuje dostêpu do portów:\n5009 UDP (wychodz¹ce)\n5009 UDP (przychodz¹ce)\n\nWiêcej w naszym poradniku usuwania usterek:\n

dialog_client_failedtitle           B£¥D SIECI
dialog_client_failedconnect         Defcon nie móg³ otworzyæ Nas³uchu Sieci dla tego klienta.\nOznacza to, ¿e nie mo¿esz braæ udzia³u w ¿adnych grach,\nani tworzyæ w³asnych.\n\nSprawdŸ, czy jesteœ po³¹czony z internetem, ew. wy³¹cz\nfirewalle i inne narzêdzia sieciowe.\n\nWiêcej w naszym poradniku usuwania usterek:\n

dialog_server_failedtitle           NIE MOGÊ WYSTARTOWAÆ SERWERA
dialog_server_failedconnect         Defcon nie mo¿e wystartowaæ serwera.\nNiezbêdne do tego Po³¹czenia Sieciowe nie s¹ dostêpne.\n\nSpróbuj wy³¹czyæ firewalle i inne narzêdzia sieciowe.\n\nWiêcej w naszym poradniku usuwania usterek:\n

dialog_ambxsupport                  Wsparcie amBX
dialog_ambxsupport_tooltip          W³¹cz tê opcjê, tylko jeœli masz pod³¹czone urz¹dzenia standardu AMBX. Wiêcej informacji na www.ambx.com.

dialog_screen_error_title           B³¹d ekranu
dialog_screen_error_caption         Nie mog³em ustawiæ wymaganej rozdzielczoœci ekranu \n(*W x *H, *C kolorów, *S).\n\nWracam do bezpiecznych ustawieñ\n(*w x *h, *c kolorów, *s).
# W = Screen Width, H = Screen Height, C = Color Depth (ie: 24 bit), S = Windowed/Fullscreen
# The four other are the safe version of their capitalized counterparts (ie: w, h ,c ,s)

dialog_restart_required_title       Wymagany restart
dialog_restart_required_caption     Musisz zrestartowaæ Defcona, by korzystaæ\nz wprowadzonych zmian.

dialog_connection_status            Status po³¹czenia
dialog_abort_current_connection     Przerwij aktualn¹ próbê po³¹czenia
dialog_state_disconnected           ROZ£¥CZONY
dialog_state_connecting             £¥CZÊ...
dialog_state_connected              PO£¥CZONY
dialog_state_attempts               PRÓB : *A
# A = Number of Connection Attempts
dialog_state_receiving              ODBIERAM...
dialog_state_received               ODEBRANE
dialog_state_synchronising          SYNCHRONIZACJA...
dialog_state_synchronised           ZSYNCHRONIZOWANE
dialog_state_time_remaining         POZOSTA£O : *M.*S
# M = Minutes, S = Seconds

dialog_toolbar_units                jednostki
dialog_toolbar_allies               sojusznicy
dialog_toolbar_comms                komunikaty
dialog_toolbar_scores               punktacja
dialog_toolbar_radar                radar
dialog_toolbar_people               ludzie
dialog_toolbar_orders               rozkazy
dialog_toolbar_territory            terytoria
dialog_toolbar_nukes                atomówki
dialog_toolbar_white_board          tablica
dialog_toolbar_info                 info

dialog_mod                          Mody
dialog_mod_commit_title             WCZYTUJÊ MODY...
dialog_mod_commit_mod_path          Ustawiam œcie¿kê do MODa...\n
dialog_mod_commit_activating_mod    Aktywujê MODa '*N *V'\n
# N = MOD name, V = version
dialog_mod_commit_all_mods_off      Wszystkie MODy zdeaktywowane
dialog_mod_error                    B£¥D
dialog_mod_no_arrangement_change    Nie mo¿esz zmieniæ uk³adu MODów KRYTYCZNYCH \npodczas trwania gry.
dialog_mod_not_installed            (NIE ZAINSTALOWANE)
dialog_mod_active                   aktywne
dialog_mod_clear_all                Wyczyœæ
dialog_mod_deactivate               Deaktywuj
dialog_mod_activate                 Aktywuj
dialog_mod_click_download_mods      Kliknij, by œci¹gn¹æ wiêcej MODów
dialog_mod_click_here               Kliknij
dialog_mod_move_up                  W górê
dialog_mod_move_down                W dó³
dialog_mod_no_mod_selected          Nie wybrano MODa
dialog_mod_screenshot_not_found     Nie znalaz³em screenshota
dialog_mod_install_dir              Œcie¿ka instalacji
dialog_mod_author                   Autor
dialog_mod_website                  Strona WWW
dialog_mod_required_all_players     Wymagany dla WSZYSTKICH GRACZY
dialog_error_mod_path_title         B³¹d przy ustalaniu œcie¿ki MODa.
dialog_error_mod_path_caption       B³¹d przy ustalaniu œcie¿ki MODa.\nNa tym serwerze dzia³a MOD, którego nie masz zainstalowanego.\n\nChodzi o:\n

dialog_demo                         Demo
dialog_welcome_to_demo              WITAM W TRYBIE DEMO
dialog_play_demo                    Graj w demo
dialog_buy_now                      Gra w trybie demo
dialog_buy_now_caps                 GRA W TRYBIE DEMO
dialog_exit_game_time               WyjdŸ z gry (*T)
# T = Remaining time
dialog_exit_game                    WyjdŸ z gry
dialog_welcome_to_demo_defcon       Witam w DEMO gry Defcon.
dialog_demo_player_limited          Mo¿esz stworzyæ grê multiplayer,\nale z limitem do *P graczy.\nW pe³nej wersji mo¿e graæ naraz 6 graczy.\n\n
# P = Number of Players
dialog_demo_player_join_limited     Mo¿esz do³¹czyæ do istniej¹cej gry multiplayer,\nale tylko jeœli gra mniej ni¿ *P\n graczy DEMO.
# P = Number of Players
dialog_demo_spectate_any_game       \n\nMo¿esz kibicowaæ w dowolnej grze.

dialog_server_browser               Przegl¹darka serwerów
dialog_server_password              Has³o serwera
dialog_enter_ip_manually            Rêczne wpisywanie IP.
dialog_filters                      Filtry
dialog_server_details               Serwer  *I : *P
# I = Ip Address, P = port
dialog_server_version_mismatch      Nie mo¿esz do³¹czyæ do tego serwera,.\n\nponiewa¿ u¿ywa on innej wersji gry,\nniekompatybilnej z Twoj¹.\n\n\nTwoja wersja : *V\nIch wersja : *T
# V = Your version, T = Their version
dialog_cannot_join_server           Nie mo¿esz do³¹czyæ do serwera
dialog_no_join_mods_not_installed   Nie mo¿esz do³¹czyæ do tego serwera.\n\nU¿ywa on niezainstalowanych u Ciebie MODów.\nPotrzebujesz tych MODów:\n\n*R\n\nMo¿esz je œci¹gn¹æ z\n
# R = Reason
dialog_no_join_own_game             Nie mo¿esz do³¹czyæ do tego serwera.\n\nTo Twój serwer i ju¿ jesteœ\nz nim po³¹czony.
dialog_requesting                   Proœba wys³ana...
dialog_refresh_number_server        Odœwie¿ (*S)
# S = Number of Servers
dialog_server_demo_restricted       Ten serwer ma OGRANICZENIA DEMO.\n\nTo oznacza, ¿e jest ju¿ na nim zbyt wielu graczy Demo, lub toczy siê gra w trybie zaawansowanym.\n\nWprowadŸ klucz, by uaktywniæ pe³n¹ wersjê gry.\n\nMaksymalna liczba graczy demo : *N
# N = Max Demo Game Size
dialog_number_server_found          Znaleziono *N serwerów
# N = Number Server Found
dialog_retrieving_server_list       Pobieranie listy serwerów...
dialog_net_location_lan             *I:*P [LAN]
# I = Ip Address, P = port
dialog_game_ended                   (koniec)
dialog_demo_game_mode               demo
dialog_mod_base_number_more         *M (jeszcze *N)
# M = Mod base, N = Number of Remaining Mods
dialog_server_name_incompatible     *S [NIEKOMPATYBILNE]
# S = Server Name
dialog_server_name_mods_required    *S [POTRZEBNE MODY]
# S = Server Name
dialog_server_name_your_server      *S [TWÓJ SERWER]
# S = Server Name
dialog_server_name_demo_restricted  *S [OGRANICZENIA DEMO]
# S = Server Name
dialog_server_name_full             *S [PE£NY]
# S = Server Name
dialog_server_name_not_responding   *S  [NIE ODPOWIADA]
# S = Server Name
dialog_connected_recently           (ostatnio pod³¹czony)
dialog_server_browser_teams         Dru¿yny
dialog_server_browser_specs         Specyfikacja
dialog_server_browser_time          Czas trwania
dialog_server_browser_mods          MODy
dialog_server_browser_game_mode     Tryb gry
dialog_server_browser_server_name   Nazwa serwera
dialog_server_browser_list          Lista
dialog_filter_all_games             Wszystkie gry
dialog_filter_games_in_lobby        Gry w lobby
dialog_filter_games_in_progress     Trwaj¹ce gry
dialog_filter_recent_servers        Ostatnie serwery
dialog_filter_lan_games             Gry w sieci LAN
dialog_filter_enter_ip_manually     Rêczne wpisywanie IP
dialog_join                         Do³¹cz
dialog_enter_ip                     [wpisz ip]
dialog_connect                      Po³¹cz
dialog_server_ip                    IP serwera
dialog_server_port                  Port serwera
dialog_single_player_games          Gry dla 1 gracza
dialog_demo_games                   Gry demo
dialog_default_named_servers        Serwery o nazwie domyœlnej
dialog_show_single_player_games     Poka¿ gry dla 1 gracza
dialog_show_demo_games              Poka¿ gry demo
dialog_show_default_named_games     Poka¿ gry o nazw. dom.
dialog_server_name                  Nazwa
dialog_server_identity_address      To¿samoœæ
dialog_server_game_name             Gra
dialog_server_game_mode             Tryb gry
dialog_server_score_mode            Tryb pkt.
dialog_server_started               [rozpoczêta]
dialog_server_ended                 [zakoñczona]
dialog_server_not_yet_started       [jeszcze nie rozpoczêta]
dialog_spectators                   Kibice
dialog_server_game_time             Czas gry
dialog_server_scores                Punktacja
dialog_retrieving_scores            Odczytujê punktacjê...

dialog_disconnected                 Roz³¹czony
dialog_disconnect_client_leave      Opuœci³eœ grê
dialog_disconnect_server_shutdown   Serwer wy³¹czony
dialog_disconnect_invalid_key       U¿ywasz z³ego klucza
dialog_disconnect_duplicate_key     Powtarzaj¹cy siê klucz
dialog_disconnect_key_auth_failed   Uwierzytelnienie nieudane
dialog_disconnect_bad_password      Z³e has³o
dialog_disconnect_game_full         Gra jest ju¿ pe³na
dialog_disconnect_kicked_from_game  Wyrzucony przez serwer
