# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Español
dialog_worldstatus_out_of_sync			No Sincronizado
dialog_worldstatus_out_of_sync_2			no sincronizado
dialog_worldstatus_spectator_join			Espectador (uniéndose...)
dialog_worldstatus_superpower			Jugador
dialog_worldstatus_kills			Muertos
dialog_worldstatus_deaths			Bajas
dialog_worldstatus_survivors			Supervivientes
dialog_worldstatus_collateral			Colaterales
dialog_worldstatus_nukes			Bombas
dialog_worldstatus_score			Puntuación
dialog_worldstatus_points_value			Valor en Puntos:
dialog_worldstatus_pop_in_millions			*P mill.
# P = Population in millions
dialog_worldstatus_classified			[clasificado]
dialog_stats			Estadísticas

dialog_casualties_city			Ciudad
dialog_casualties_strikes			Ataques
dialog_casualties_deaths			Muertes
dialog_casualties_in_million			*C Millones
# C = Casualties in Million

dialog_network_title                Red
dialog_network_server_seqid			Id. Sec. Servidor  *S
# S = Server sequence
dialog_network_server_send			Servidor Envía    *R Kb/seg
# R = Send Rate
dialog_network_server_receive			Servidor Recibe    *R Kb/seg
# R = Receive Rate
dialog_network_id			ID
dialog_network_ip_port			IP:Puerto
dialog_network_seqid			Id. Sec.
dialog_network_seqid_number			Id. Sec. *S
# S = Sequence Id
dialog_network_name			Nombre
dialog_network_status			Estado
dialog_network_lost_con			Con. Perdida...*Ss
# S = Number of seconds since the connection was lost
dialog_network_synching			Sincronizando...*P
# P = Percentage done Synching
dialog_network_ping			Ping *Pms
# M = Ping time in miniseconds
dialog_network_spec			(especificaciones)
dialog_network_empty			Vacío
dialog_network_sequence_msg_queue			Mensajes de secuencia en cola. Lo ideal es que haya 0 ó 1 completados, sin huecos.
dialog_network_svr_known_seqid			Id. Sec. Conocido del Servidor *S
# S = Sequence Id
dialog_network_svr_estimated_seqid			Id. Sec. Estimado del Servidor *S
# S = Sequence Id
dialog_network_estimated_latency			Latencia Estimada : *L seg
# L = Estimated Latency
dialog_network_client_seqid			ID. SEC. Cliente   *S
# S = Sequence Id
dialog_network_client_send			Cliente Envía     *R Kb/seg
# R = Send Rate
dialog_network_client_receive			Cliente Recibe     *R Kb/seg
# R = Receive Rate

dialog_profile_title                Profiler
dialog_profile_toggle_glfinish			Activar/Desactivar glFinish
dialog_profile_reset_history			Reiniciar Historial
dialog_profile_min			Mín
dialog_profile_avg			Medio
dialog_profile_max			Máx

dialog_c2s_team_renamed			Se ha cambiado el nombre de *T por *N
# T = Team Name Old, N = Team Name New
dialog_c2s_team_joined_game			*T se ha unido a la partida
# T = Team Name
dialog_c2s_default_name_spectator   Espectador
dialog_c2s_default_name_player      Jugador *T
# T = Team Id

dialog_world_new_spec_connecting			Se está conectando un nuevo espectador
dialog_world_team_left_game			*T ha abandonado la Partida
# T = Team Name
dialog_world_spec_left_game			El espectador *T ha abandonado la Partida
# T = Team Name
dialog_world_rejoined			*T SE HA VUELTO A UNIR
# T = Team Name
dialog_world_disconnected			*T SE HA DESCONECTADO
# T = Team Name
dialog_world_dropped			*T HA PERDIDO LA CONEXIÓN
# T = Team Name
dialog_world_kicked			*T HA SIDO EXPULSADO
# T = Team Name

dialog_mapr_fps			*Ffps
# F = Frame per seconds (fps)
dialog_mapr_city_population			POBLACIÓN : *P MILLONES
# P = City Population
dialog_mapr_city_dead			MUERTOS : *D MILLONES
# D = City Dead Population
dialog_mapr_mode			MODO *M
# M = Current State
dialog_mapr_secs			*S SEG.
# S = Seconds
dialog_mapr_empty			VACÍO
dialog_mapr_cancel_all_orders			CANCELAR TODAS LAS ÓRDENES
dialog_mapr_not_before_defcon_x			NO ANTES DE DEFCON *D
# D = Defcon level
dialog_mapr_defcon_x_required			SE REQUIERE DEFCON *D
# D = Defcon level
dialog_mapr_out_of_range			FUERA DEL ALCANCE
dialog_mapr_combat_range			ALCANCE DE COMBATE
dialog_mapr_fuel_range			ALCANCE DEL COMBUSTIBLE
dialog_mapr_nukes_in_queue			*N EN COLA
# N = Number of Nukes
dialog_mapr_nukes_in_flight			*N EN VUELO
# N = Number of Nukes

dialog_style			Estilo
dialog_style_editor			Editor de Estilo
dialog_style_primary			primario
dialog_style_secondary			secundario
dialog_style_red			Rojo
dialog_style_green			Verde
dialog_style_blue			Azul
dialog_style_alpha			Alfa
dialog_style_colour_editor			Editor de Color *I *P
# I = Real Index, P = Primary (0/1)
dialog_style_failed_load_style			Error al cargar estilo\n
dialog_style_style_saved			Estilo guardado en\n
dialog_style_failed_save_style			Error al guardar estilo en\n
dialog_style_col_primary			Primario
dialog_style_col_secondary			Secundario
dialog_style_col_horiz			Horiz
dialog_style_col_ngtive			Ngtivo
dialog_style_col_caps			Inv.
dialog_style_col_size			Tamaño
dialog_style_col_font			Fuente


# =============================================================================
# Tooltips
# =============================================================================

tooltip_timeaccel0			Pausar el Juego
tooltip_timeaccel1			Avanzar en Tiempo Real
tooltip_timeaccel2			Acelerar el Tiempo\n(5x Tiempo Real)
tooltip_timeaccel3			Acelerar el Tiempo\n(10x Tiempo Real)
tooltip_timeaccel4			Acelerar el Tiempo\n(20x Tiempo Real)

tooltip_worldstatus_x_faster_realtime			*Sx Tiempo Real
# S = Number of time the game speed is faster than Realtime
tooltip_worldstatus_key_shortcut_0			\nTecla rápida: 0\n
tooltip_worldstatus_key_shortcut_1			\nTecla rápida: 1\n
tooltip_worldstatus_key_shortcut_2			\nTecla rápida: 2\n
tooltip_worldstatus_key_shortcut_3			\nTecla rápida: 3\n
tooltip_worldstatus_key_shortcut_4			\nTecla rápida: 4\n
tooltip_worldstatus_players_request_speed			Jugadores que solicitan velocidad:
tooltip_worldstatus_no_team_request_speed			\nNinguno
tooltip_worldstatus_cannot_request_speed			No puedes solicitar esta velocidad de juego

tooltip_defcon5			DEFCON 5\nNo se permiten acciones hostiles\nLas unidades enemigas son invisibles al Radar
tooltip_defcon4			DEFCON 4\nLas unidades enemigas se vuelven visibles al Radar
tooltip_defcon3			DEFCON 3\nSe autorizan los combates navales\nSe autorizan los combates aéreos
tooltip_defcon2			DEFCON 2
tooltip_defcon1			DEFCON 1\nSe autoriza el combate nuclear

tooltip_toolbar_whiteboard			Activar/Desactivar Pizarra
tooltip_toolbar_whiteboard_disabled			La pizarra está deshabilitada debido a la versión antigua del anfitrión
tooltip_toolbar_radar			Activar/Desactivar la Cobertura Radar
tooltip_toolbar_pop			Activar/Desactivar la Densidad de Población
tooltip_toolbar_alliances			Mostrar la Ventana de Alianzas
tooltip_toolbar_units			Mostrar el Panel de Unidades
tooltip_toolbar_score			Mostrar la Ventana de Puntuaciones
tooltip_toolbar_comms			Mostrar la Ventana de Comunicaciones
tooltip_toolbar_orders			Mostrar/Ocultar las Órdenes
tooltip_toolbar_info			Mostrar la Ventana de Información de Unidades
tooltip_toolbar_territory			Mostrar/Ocultar Territorios
tooltip_toolbar_nukes			Mostrar Unidades con Bombas Atómicas

tooltip_whiteboard_planning			Activar/Desactivar la utilización de la pizarra. Pulsa con el botón Izquierdo para dibujar, y el Derecho para borrar.
tooltip_whiteboard_eraseall			Borra todo lo que hay dibujado sobre la pizarra.
tooltip_whiteboard_showall			Alterna entre mostrar todas las pizarras de la alianza, o sólo la tuya.

tooltip_gameoption_servername			Introduce el nombre del Servidor de Juego que deseas que vean los demás jugadores
tooltip_gameoption_advertiseoninternet			Si esta opción está habilitada tu partida se anunciará en el Metaservidor y otros Jugadores de Internet podrán unirse a ella.
tooltip_gameoption_advertiseonlan			Si esta opción está habilitada otros jugadores de la misma Red de Área Local podrán ver la partida.
tooltip_gameoption_maxteams			El número máximo de Jugadores que pueden participar en la partida.
tooltip_gameoption_territoriesperteam			El número de Territorios que controlará cada jugador durante la partida.
tooltip_gameoption_citiesperterritory			El número de Ciudades generadas por cada territorio controlado por un jugador.
tooltip_gameoption_populationperterritory			El número de habitantes (en millones) de cada territorio.\nLa población de las ciudades se ajustará según este dato
tooltip_gameoption_citypopulations			Controla cómo se distribuye tu población entre las Ciudades.\n\n- Por defecto: Las poblaciones de las ciudades están basadas en las del mundo real\n\n- Igualadas: Todas las ciudades de un territorio tienen la misma población\n\n- Aleatorias: La población de cada ciudad es aleatoria, sin embargo se eligen ciudades estándar por lo que tus ciudades seguirán estando en el mismo lugar en cada partida\n\- Totalmente Aleatorias: La población de cada ciudad es aleatoria, y además se seleccionarán ciudades al azar de la base de datos, lo que significa que la posición de tus ciudades será también aleatoria
tooltip_gameoption_randomterritories			Si esta opción está habilitada, al comienzo de la partida se les asignará a los jugadores territorios seleccionados de forma aleatoria.\n\nUna opción útil para resolver discusiones sobre quién va a ser Europa.
tooltip_gameoption_maxspectators			El número máximo de personas que pueden observar la partida.\nAtención: cada espectador reduce el ancho de banda del Servidor.\n\n0=ninguno\n100=sin límite.
tooltip_gameoption_spectatorchatchannel			Controla si los Jugadores pueden leer los mensajes de Chat escritos por los Espectadores que observan la partida.  Puede que quieras hacer que el canal de los Espectadores sea Privado para evitar que ayuden a los jugadores.\n\n- Público: Todos los jugadores podrán ver lo que dicen los Espectadores. (por defecto)\n\n- Privado: Sólo los Espectadores podrán leer los mensajes de su canal.  En este modo no hay posibilidad de que un Jugador y un Espectador se comuniquen.
tooltip_gameoption_teamswitching			Si esta opción está habilitada los jugadores podrán cambiar de equipo durante la partida utilizando las teclas numéricas.\n\n¡No se recomienda para partidas serias!
tooltip_gameoption_permitdefection			Si esta opción está habilitada los jugadores podrán cambiar de alianza durante la partida
tooltip_gameoption_radarsharing			Controla en qué momentos es posible compartir el Radar con otros Jugadores de la partida.\n\n- Siempre apagado: no se permite compartir radar.\n\n- Alianza: Los aliados comparten automáticamente su radar. (por defecto)\n\n- Selectivo: Cada jugador puede elegir compartir el Radar con otro jugador (sean o no aliados).\n\n- Siempre encendido: la opción de compartir radar está habilitada para todo el mundo.  Es un modo bastante práctico para los 'principiantes' ya que puedes ver en todo momento las unidades de tus rivales.
tooltip_gameoption_gamespeed			La configuración de la velocidad para esta partida\nMenor Solicitada utiliza la velocidad más baja seleccionada por un jugador
tooltip_gameoption_slowestspeed             La velocidad más baja a la que puede ir esta partida. Si se elige Pausa, cualquier jugador puede detener la partida utilizando la barra de herramientas de la velocidad.
tooltip_gameoption_enableworldevents			Si esta opción está habilitada tendrán lugar eventos aleatorios durante la partida
tooltip_gameoption_gamemode			Controla las reglas que rigen el juego
tooltip_gameoption_scoremode			Controla el peso que los muertos causados al enemigo, las bajas propias y las bombas atómicas restantes tienen en la puntuación
tooltip_gameoption_victorytrigger			Determina en qué momento da comienzo el Temporizador de la Victoria.  Este valor representa el porcentaje del número total de Bombas atómicas del mundo por debajo del cual se iniciará el Temporizador de la Victoria.\n\nP.ej.: Si se establece en 20 (por defecto), para que comience el Temporizador de la victoria el número total de bombas debe ser inferior al 20% del recuento inicial.
tooltip_gameoption_victorytimer			Una vez que el Temporizador de la Victoria se ha iniciado, pasará este número de minutos de juego antes de que la partida finalice por completo.
tooltip_gameoption_maxgamerealtime			El tiempo real máximo en minutos para la partida.\n\n0 = tiempo real disponible sin límites: la partida no concluirá hasta que se complete el Temporizador de la Victoria.
tooltip_gameoption_variableunitcounts			Habilita el Modo de créditos\nCada jugador recibe un número de créditos que debe gastar en sus unidades, y puede personalizar sus fuerzas como desee
tooltip_gameoption_worldscale			NOTA: Experimental.\n\nEsta variable hace que de hecho el mundo sea más grande, y por tanto que el juego dure más.\n\nCon un valor de 100, la escala del mundo es normal.\n\nEn su valor más alto (200) cada equipo dispone del doble de unidades, pero cada una de ellas tiene la mitad de alcance de combate y de radar.\n\nExtremadamente experimental.\nRequiere una CPU potente.\nRecomendamos que deshabilites Mostrar Estelas de Objetos para tener una visión más clara.
tooltip_gameoption_permitpausing			Si esta opción está habilitada, un jugador puede detener la partida durante el juego
tooltip_gameoption_serverpassword			Configura esta opción para limitar el acceso a sólo aquellas personas que conozcan la contraseña.\n\nPara que no haya ninguna contraseña déjalo en blanco.

tooltip_gamemode_default			Consigue puntos bombardeando las Ciudades de\ntus enemigos. Defcon irá a la velocidad más baja que se haya solicitado.
tooltip_gamemode_office_mode			Defcon se ejecutará en una Ventana sin Sonido, y funcionará en Tiempo real durante no más de 6 horas. Si aparece el jefe pulsa dos veces Esc para ocultar la Ventana.
tooltip_gamemode_speed_defcon			Defcon se ejecutará a la velocidad máxima y\ndurará no más de 15 minutos. La pausa está deshabilitada. Instintivo y Brutal.
tooltip_gamemode_diplomacy			Todos los jugadores comenzarán siendo\nmiembros de la alianza Verde con la opción de Compartir Radar activada. ¿Cuánto durará la Alianza? Se recomienda que haya tres o más Jugadores Humanos.
tooltip_gamemode_bigworld			Todos los jugadores disponen del doble de unidades, pero cada una de ellas es la mitad de grande y tiene la mitad de radar, de alcance del armamento, y de velocidad. Para aquellos\njugadores que disfrutan con las partidas largas.
tooltip_gamemode_tournament			Las reglas por defecto están en vigor, excepto que los Espectadores no pueden comunicarse con los Jugadores y a éstos se les asignan Territorios Aleatorios.
tooltip_gamemode_custom			No hay reglas específicas en vigor: todo vale.

tooltip_scoremode_default			Consigues 2 puntos por cada baja que causes en\nel enemigo. Pierdes 1 punto por cada uno de tus habitantes que no seas capaz de proteger.
tooltip_scoremode_survivor			Consigues 1 punto por cada superviviente de tu Territorio.  Todos los equipos comienzan con 100 puntos y este valor sólo puede reducirse.
tooltip_scoremode_genocide			Consigues 1 punto por cada baja que causes en el enemigo. Simple, pero horrible.

tooltip_defection_no			No se permite el cambio de bando y las Alianzas permanecerán fijas durante toda la partida.\n\nEstás automáticamente en un estado de Alto el Fuego con tus aliados.
tooltip_defection_yes			Se permite el cambio de bando. Tú, o cualquier otro jugador, podéis decidir cambiar de Alianza en cualquier momento.\n\nEn cualquier situación puedes habilitar o deshabilitar el estado de Alto el Fuego con tus aliados.

tooltip_radarsharing_alwaysoff			No se permite compartir radar.  Sólo verás tu propia Cobertura Radar.
tooltip_radarsharing_alliance			La opción de Compartir Radar está habilitada entre los miembros de las Alianzas.  Esto significa que compartirás automáticamente el Radar con todos tus aliados.\n\nNota: Los submarinos aliados no serán visibles a menos que salgan a la superficie.
tooltip_radarsharing_selective			La opción de Compartir Radar se encuentra en modo Selectivo.  Puedes elegir compartir el Radar (o no) con cualquier otro jugador.
tooltip_radarsharing_alwayson			La opción de compartir radar está habilitada para todo el mundo.  Puedes ver todas las unidades de la partida\n\nNota: NO verás los submarinos enemigos a menos que salgan a la superficie.

tooltip_ceasefire_enable			Tus unidades militares dejarán automáticamente de disparar a este equipo. \nSe desactivarán todos los misiles nucleares se estén dirigiendo hacia este equipo.
tooltip_ceasefire_disable			Tus unidades militares considerarán a este equipo como un enemigo, y abrirán fuego sobre él automáticamente.
tooltip_radarshare_enable			A este equipo se le transmitirá tu Cobertura Radar, y podrán ver todo lo que tú ves.\nNota: Tus submarinos permanecerán ocultos mientras continúen sumergidos.
tooltip_radarshare_disable			Dejarás de transmitirle a este equipo tu Cobertura Radar.  Ya no podrán ver lo que tú ves.

tooltip_place_silo			Desplegar Silo
tooltip_place_radar			Desplegar Estación de Radar
tooltip_place_airbase			Desplegar Base Aérea
tooltip_place_battleship			Añadir Acorazado a la Flota
tooltip_place_sub			Añadir Submarino a la Flota
tooltip_place_carrier			Añadir Portaaviones a la Flota
tooltip_place_unit			Desplegar Aquí la Unidad
tooltip_place_fleet			Desplegar Aquí la Flota
tooltip_fleet_button			Construir una Flota
tooltip_fleet_remove			Eliminar esta unidad de la Flota
tooltip_fleet_place			Desplegar esta Flota

tooltip_territory_northamerica			América del Norte
tooltip_territory_southamerica			América del Sur
tooltip_territory_europe			Europa
tooltip_territory_russia			Rusia
tooltip_territory_southasia			Asia del Sur
tooltip_territory_africa			África

tooltip_lobby_teamname			Introduce un nombre para tu Equipo
tooltip_lobby_territories			Selecciona el Territorio de tu equipo
tooltip_lobby_alliance			Selecciona la alianza a la que deseas unirte
tooltip_lobby_requestteam			Crear un equipo para que juegues como
tooltip_lobby_requestai			Crear un equipo controlado por el ordenador
tooltip_lobby_ready			Preparado para Jugar. La partida dará comienzo cuando todos los jugadores estén preparados
tooltip_lobby_ready_disable			El nombre de juego no es válido
tooltip_lobby_chat			Abrir la ventana de Chat
tooltip_lobby_aggression			Modifica la agresividad del ordenador, siendo 10 el máximo\n0 le da al equipo una agresividad aleatoria
tooltip_lobby_demo_max_player			Estás jugando una Demo, así que no puedes tener todos estos jugadores en tu partida.
tooltip_lobby_click_open_slot			Pulsa para abrir este espacio y permitir que se unan más jugadores
tooltip_lobby_click_close_slot			Pulsa para cerrar este espacio y evitar que se unan otros jugadores
tooltip_lobby_address_port			IP: *I\nPUERTO:*P
# I = IP address, P = Port

tooltip_chat_public			Canal público. Todos los jugadores pueden ver aquí los mensajes.
tooltip_chat_alliance			Canal de la alianza. Sólo los miembros de tu Alianza pueden ver aquí los mensajes
tooltip_chat_spectators			Canal de los espectadores. Sólo a los espectadores se les permite escribir aquí.

tooltip_alliance_join			Enviar un solicitud de unión a la alianza
tooltip_alliance_leave			Abandonar esta Alianza
tooltip_alliance_kick			Iniciar una votación para expulsar a este miembro de la alianza

tooltip_vote_yes			Votar Sí
tooltip_vote_no			Votar No
tooltip_vote_abstain			Abstenerse de esta votación

tooltip_lmb                         [BIR]
tooltip_rmb                         [BDR]

tooltip_placeobject			[BIR] DESPLEGAR UNIDAD
tooltip_placefleet			[BIR] DESPLEGAR FLOTA
tooltip_invalidplacement			UBICACIÓN NO VÁLIDA
tooltip_spacetocancel			PULSA ESPACIO PARA CANCELAR

tooltip_selectobject			[BIR] SELECCIONAR UNIDAD
tooltip_selectfleet			[BIR] SELECCIONAR FLOTA
tooltip_setobjectstate			[BDR] CAMBIAR ESTADO DE LA UNIDAD
tooltip_enemyunit			(UNIDAD ENEMIGA)
tooltip_attack			[BIR] ATACAR ESTA UNIDAD
tooltip_moveobject			[BDR] MOVER LA UNIDAD A ESTE PUNTO
tooltip_movefleet			[BDR] MOVER LA FLOTA A ESTE PUNTO
tooltip_cantmovehere			NO SE PUEDE MOVER A ESTE PUNTO
tooltip_spawnfighter			[BIR] ENVIAR CAZA A ESTE PUNTO
tooltip_spawnbomber			[BIR] ENVIAR BOMBARDERO A ESTE PUNTO
tooltip_spawnnuke			[BIR] LANZAR MISIL NUCLEAR SOBRE ESTE PUNTO
tooltip_spacetodeselect			ESPACIO PARA CANCELAR SELECCIÓN DE UNIDAD
tooltip_landobject			[BIR] ATERRIZAR AVIÓN EN ESTE PUNTO

tooltip_controls_sidescrolling			Te permite mover la Cámara situando el ratón en los bordes de la pantalla
tooltip_controls_zoomspeed			Ajusta la sensibilidad del zoom mediante ratón y trackpad
tooltip_controls_camdragging			Te permite arrastrar la Cámara manteniendo pulsado el botón central del ratón
tooltip_controls_keyboardlayout			Te permite cambiar el tipo de entrada

tooltip_close_window			Cerrar la ventana

tooltip_demo_exit_the_game			Salir del juego

tooltip_server_browser_game_time			Tiempo de Juego:
tooltip_server_browser_game_has_ended			\nLa partida ha Finalizado
tooltip_server_browser_game_started			Iniciada
tooltip_server_browser_not_yet_started			Aún No Iniciada
tooltip_server_browser_teams			\nEquipos :
tooltip_server_browser_spectator			\nEspectadores :
tooltip_server_browser_game_mode			\nModo Juego :
tooltip_server_browser_score_mode			\nModo Puntuación :
tooltip_server_browser_mod			\nMOD:
tooltip_server_browser_right_click_details			\n(Pulsa con el botón derecho para más detalles)


# =============================================================================
# Game Options
# =============================================================================

gameoption_PlayerName               Jugador

gameoption_ServerName			Nombre
gameoption_New_Game_Server			Nuevo Servidor
gameoption_AdvertiseOnInternet			Anunciar en Internet
gameoption_Disabled			Deshabilitado
gameoption_Enabled			Habilitado
gameoption_AdvertiseOnLAN			Anunciar en LAN
gameoption_GameMode			Modo Juego
gameoption_Default			Por defecto
gameoption_Office_Mode			Modo de Oficina
gameoption_Speed_Defcon			Defcon Rápido
gameoption_Diplomacy			Diplomacia
gameoption_BigWorld			Gran Mundo
gameoption_Tournament			Torneo
gameoption_Custom			Personalizado
gameoption_MaxTeams			Equipos Máximos
gameoption_TerritoriesPerTeam			Territorios Por Equipo
gameoption_CitiesPerTerritory			Ciudades Por Territorio
gameoption_PopulationPerTerritory			Población Por Territorio
gameoption_CityPopulations          Población en Ciudades
gameoption_Equalised                Igualadas
gameoption_Random                   Aleatorias
gameoption_TotallyRandom            Totalmente Aleatorias
gameoption_RandomTerritories			Territorios Aleatorios
gameoption_PermitDefection			Permitir Defecciones
gameoption_No			No
gameoption_Yes			Sí
gameoption_RadarSharing			Compartir Radar
gameoption_AlwaysOff			Siempre Apagado
gameoption_Alliance			Alianza
gameoption_Selective			Selectivo
gameoption_AlwaysOn			Siempre Encendido
gameoption_GameSpeed			Velocidad de Juego
gameoption_Slowest_Requested			Menor Solicitada
gameoption_Pause			Pause
gameoption_Real_Time			Tiempo Real
gameoption_5x_Real_Time			5x Tiempo Real
gameoption_10x_Real_Time			10x Tiempo Real
gameoption_20x_Real_Time			20x Tiempo Real
gameoption_SlowestSpeed			Menor Velocidad
gameoption_ScoreMode			Modo Puntuación
gameoption_Survivor			Superviviente
gameoption_Genocide			Genocidio
gameoption_VictoryTrigger			Inicio de la Victoria
gameoption_VictoryTimer			Temporizador de la Victoria
gameoption_MaxGameRealTime			Máximo Tiempo Real de Partida
gameoption_VariableUnitCounts			Número Variable de Unidades
gameoption_WorldScale			Escala del Mundo
gameoption_MaxSpectators			Espectadores Máximos
gameoption_SpectatorChatChannel			Chat para Espectadores
gameoption_Private			Privado
gameoption_Public			Público
gameoption_TeamSwitching			Cambio de Equipo
gameoption_ServerPassword			Contraseña del Servidor


# =============================================================================
# Styles
# =============================================================================

style_WindowBackground			Fondo de Ventanas
style_WindowTitleBar			Barra de Título de Ventanas
style_WindowOuterBorder			Borde Exterior de Ventanas
style_WindowInnerBorder			Borde Interior de Ventanas
style_ButtonBackground			Fondo de Botón
style_ButtonHighlighted			Botón Marcado
style_ButtonClicked			Botón Pulsado
style_ButtonBorder			Borde de Botón
style_BoxBackground			Fondo de Cuadro
style_BoxBorder			Borde de Cuadro
style_InputBackground			Fondo de Cuadro de Entrada
style_InputBorder			Borde de Cuadro de Entrada
style_FontWindowTitle			Fuente de Título de Ventana
style_FontButton			Fuente de Botón
style_WorldCoastlines			Líneas de Costa del Mundo
style_WorldBorders			Fronteras del Mundo
style_WorldWater			Océanos del Mundo
style_WorldLand			Continentes del Mundo
style_TooltipBackground			Fondo de Información sobre Herramientas
style_TooltipBorder			Borde de Información sobre Herramientas
style_FontTooltip			Fuente de Información sobre Herramientas
style_PopupBackground			Fondo de Mensajes Emergentes
style_PopupTitleBar			Barra de Título de Mensajes Emergentes
style_PopupBorder			Borde de Mensajes Emergentes
style_PopupHighlight			Mensaje Emergente Marcado
style_PopupSelection			Selección de Mensaje Emergente
style_FontPopupTitle			Fuente de Título de Mensajes Emergentes
style_FontPopup			Fuente de Mensajes Emergentes


# =============================================================================
# Unit names
# =============================================================================

unit_silo			silo
unit_nuke			misil nuclear
unit_city			ciudad
unit_sub			submarino
unit_radar			radar
unit_battleship			acorazado
unit_airbase			base aérea
unit_fighter			caza
unit_bomber			bombardero
unit_carrier			portaaviones
unit_tornado			tornado
unit_saucer			nave alienígena
unit_explosion			explosión


# =============================================================================
# Unit States
# =============================================================================

state_preparing			PREPARÁNDOSE PARA
state_prepare			PREPARAR PARA
state_ready			LISTO PARA
state_fighterlaunch			ENVÍO DE CAZA
state_bomberlaunch			ENVÍO DE BOMBARDERO
state_attack			ATACAR
state_flight			VUELO
state_bombernuke			LANZAMIENTO DE SRBM
state_airtoseamissile			COMBATE NAVAL
state_antisub			ANTISUBMARINOS
state_ontarget			SOBRE OBJETIVO
state_disarm			DESACTIVAR
state_radar			RASTREANDO
state_silonuke			LANZAMIENTO DE ICBM
state_airdefense			DEFENSA AÉREA
state_passivesonar			SÓNAR PASIVO
state_activesonar			SÓNAR ACTIVO
state_subnuke			LANZAMIENTO DE MRBM


# =============================================================================
# Game messages
# =============================================================================

message_fuel			Sin Combustible
message_tornadodeath			Tornado Disipado
message_nukelaunch			Lanzamiento Detectado
message_multilaunch			Lanzamientos Detectados
message_firstlaunch			Detectado Lanzamiento de *T
message_incursion			No se permiten las incursiones en territorio Enemigo
message_destroyed			*U destruido
# V = victim team, U = destroyed unit, T = attacking team, A = attacking unit

message_directhit			impacto en *C, *D muertos
message_fallout			lluvia radiactiva sobre *C, *D muertos
# C = city name, D = number of deaths

details_fuel			COMBUSTIBLE

message_victory			VICTORIA DE *T
message_stalemate			NINGÚN VENCEDOR CLARO
message_spectators_chat_players			Ahora los espectadores pueden hablar con los Jugadores
message_placeunits			TIENES QUE DESPLEGAR TODAS LAS UNIDADES ANTES DE DEFCON 3

message_fleet_move			La Flota No Puede Moverse a Este Punto
message_disarmed			Misil Desactivado

message_alliance_join			*P se une a la alianza *N
message_alliance_kicked			*P expulsado de la alianza *N
message_alliance_leave			*P abandona la alianza *N
# P = player name, N = alliance name

message_invalid_action			NO ANTES DE DEFCON *D
# D = Defcon level

message_ten_minute_warning			AVISO DE DIEZ MINUTOS
message_victory_timer			SE HA INICIADO EL TEMPORIZADOR DE LA VICTORIA

tray_icon_caption			DEFCON
tray_icon_ten_minute_warning			Aviso de Diez Minutos
tray_icon_victory_timer			Se Ha Iniciado el Temporizador de la Victoria
tray_icon_nuke_launches_detected			Detectados Lanzamientos de Misiles
tray_icon_enemy_subs_detected			Detectados Submarinos Enemigos


# =============================================================================
# Combat Attack Odds
# =============================================================================

odds_zero			probabilidades del ataque: nulas
odds_vlow			probabilidades del ataque: muy bajas
odds_low			probabilidades del ataque: bajas
odds_med			probabilidades del ataque: regulares
odds_high			probabilidades del ataque: altas
odds_vhigh			probabilidades del ataque: muy altas


# =============================================================================
# Misc
# =============================================================================

unknown			desconocido

officemode_1			El Modo de Oficina invalidará la velocidad, la
officemode_2			configuración y las opciones de pantalla seleccionadas.

alien_attack			*C destruida por un Ataque Alienígena
alien_invasion			¡INVASIÓN ALIENÍGENA!
tornado_warning			ALERTA DE TORNADO


# =============================================================================
# Tutorial
# =============================================================================

tutorial			Tutorial
levelselect			Selección de Nivel
tutorial_clicknext			Pulsa Siguiente
tutorial_restart_mission			Reiniciar Misión
tutorial_missioncomplete			MISIÓN COMPLETADA
tutorial_missionfailed			MISIÓN FRACASADA
tutorial_mission			MISIÓN *X
# X = mission number
tutorial_team_name_cpu			CPU Enemiga
tutorial_team_name_player			Jugador

tutorial_restart			Reiniciar
tutorial_next			Siguiente
tutorial_chapter_desc			CAPÍTULO *C de 7  -  *N
# C = Chapter Number, N = Chapter Name
tutorial_level			Nivel *L
# L = Level Number

tutorial_levelname_1			Lanzamiento de armas nucleares
tutorial_levelname_2			Defensa aérea
tutorial_levelname_3			Cobertura radar
tutorial_levelname_4			Reconocimiento y Bombardeo
tutorial_levelname_5			Flotas Navales
tutorial_levelname_6			Submarinos
tutorial_levelname_7			Guerra Termonuclear Global

tutorial_popup			Mensaje Emergente de Tutorial
tutorial_clicknext_popup			Pulsa SIGUIENTE para continuar.

# ==== MISSION 1 =====

tutorial_start			Bienvenido al tutorial de Defcon.\n\nEn este tutorial aprenderás todo lo que necesitas saber para controlar tus fuerzas de una forma efectiva.\n\nPulsa Siguiente para continuar.
tutorial_movecamera			Antes de comenzar con estos temas, tienes que aprender a controlar el punto de vista.\n\nDesplaza el punto de vista moviendo el cursor del ratón hacia el borde de la pantalla en la dirección que deseas moverte.\n\nComo alternativa puedes utilizar las teclas W, A, S, D para desplazarlo.
