# =============================================================================
# ФАЙЛ ОПИСАНИЯ DEFCON
#
# Формат:
# stringId                  перевод
#
#
# Символами в начале строки обозначаются комментарии
# StringIDs должны остаться нетронутыми!#
#
# =============================================================================


# =============================================================================
# Название языка
# =============================================================================
lang                                                  Русский
dialog_watershaded                                    С тенью

dialog_soundoptions                                   Звук
dialog_unavailable                                    недоступно
dialog_soundlibrary                                   Библиотека
dialog_directsound                                    DirectSound
dialog_softwaresound                                  Программный звук
dialog_mixfrequency                                   Смеш. частоту
dialog_11khz                                          11 кГц низк. кач-во
dialog_22khz                                          22 кГц средн. кач-во
dialog_44khz                                          44 кГц выс. кач-во
dialog_numchannels                                    Число каналов
dialog_8channels                                      8 каналов
dialog_16channels                                     16 каналов
dialog_32channels                                     32 канала
dialog_64channels                                     64 канала
dialog_memoryusage                                    Использование памяти
dialog_swapstereo                                     Реверс стерео
dialog_hw3dsound                                      Объемный звук
dialog_realtimeeffects                                Эффекты в реальном времени
dialog_mastervolume                                   Регулятор громкости
dialog_cpuusage                                       Загрузка ЦП
dialog_cpuusageunknown                                Загрузка ЦП не определена

dialog_screenoptions                                  Экран
dialog_refreshrate                                    Частота
dialog_windowed                                       В окне
dialog_windowedmode                                   (оконный режим)
dialog_fullscreen                                     Полный экран
dialog_resolution                                     Разрешение
dialog_colourdepth                                    Глубина цвета
dialog_colourdepth_16                                 16 бит
dialog_colourdepth_24                                 24 бит
dialog_colourdepth_32                                 32 бит
dialog_colourdepth_X                                  *C bit
# C = Color Depth
dialog_zbufferdepth                                   Буфер глубины
dialog_refreshrate_X                                  *R Гц
# R = Refresh Rate
dialog_resolution_W_H                                 *W x *H
# W = Screen Width, H = Screen Height
dialog_antialias                                      Сглаживание

dialog_networkoptions                                 Сеть
dialog_networkclientport                              Порт клиента
dialog_networkserverport                              Порт сервера
dialog_networkmetaserverport                          Порт МетаСервера
dialog_networkuseportforwarding                       Переадр-я
dialog_networktracksync                               Отслеживать ошибки синхронизации
dialog_networktracksynctooltip                        Включите данную функцию для записи подробной информации о каждом кадре для отслеживания ошибок синхронизации\Существенно повлияет на производительность.
dialog_networkportforwardtooltip                      Включите данную функцию в случае, если у вас проблемы с хостингом или подключением\nВы должны вручную включить переадресацию портов для входящих UDP-данных на указанных портах вашей точки подключения. 
dialog_networkfailed                                  Сбой в сети
dialog_networkfailedgamerunning                       Вы не можете изменить настройки сети,\пока игра запущена.
dialog_networksuccess                                 Настройки изменены
dialog_networksuccessfull                             Настройки сети\nбыли изменены.
dialog_networkporttooltip                             Номер порта для подключения. Допустимы номера портов с 1024 по 65535.\nУкажите порт 0, и система сама выберет свободный порт. 
dialog_troubleshooting                                Возникли проблемы? Обратитесь за помощью
dialog_troubleshooting_tooltip                        Щелкните здесь для перехода на наш сайт с советами по устранению неисправностей и выявления проблем, связанных с подключением. 
dialog_no_change_while_in_game_1                      Вы не можете изменить настройки сети
dialog_no_change_while_in_game_2                      пока игра запущена

dialog_authoptions                                    Регистрация
dialog_paste                                          Вставить
dialog_paste_tooltip                                  Вставить ключ из буфера обмена
dialog_auth_failed                                    Регистрация НЕ УДАЛАСЬ
dialog_bad_key_title                                  Регистрация НЕ УДАЛАСЬ
dialog_authkey_not_found                              ключ аутентификации не найден
dialog_meta_server_details                            \n\nПожалуйста, посетите данную ссылку для активации своего ключа:\nMETASERVER.INTROVERSION.CO.UK
dialog_not_permitted_start_game                       Вы не можете начать новую игру,\nпоскольку нам не удалось идентифицировать ваш ключ.\n\n\nKEY  : *K\nОШИБКА: *E\n*M
# K = Ключ, E = Сообщение об ошибке, M = Сообщение
dialog_not_permitted_join_game                        Вы не можете присоединиться к игре,\nпоскольку нам не удалось идентифицировать ваш ключ.\n\nKEY  : *K\nОШИБКА: *E\n
# K = Ключ, E = Сообщение об ошибке
dialog_auth_error                                     Ошибка аутентификации\n*E\n\nКлюч: *K\n
# K = Ключ, E = Сообщение об ошибке
dialog_type_authkey_or_demo_1                         Пожалуйста, введите свой ключ
dialog_type_authkey_or_demo_2                         или нажмите кнопку "Демоверсия"
dialog_auth_status                                    СТАТУС
dialog_auth_status_unknown                            Н\Д
dialog_auth_status_checking                           ПРОВЕРКА...
dialog_auth_status_demo_user                          ПОЛЬЗОВАТЕЛЬ ДЕМОВЕРСИИ
dialog_may_play_as_demo_user                          При желании можно играть как ПОЛЬЗОВАТЕЛЬ ДЕМОВЕРСИИ.
dialog_cannot_use_mac_key_on_pc                       Вы не можете использовать ключ для Mac в версии для ПК
dialog_cannot_use_pc_key_on_mac                       Вы не можете использовать ключ для ПК в версии для Mac 


dialog_auth_wrong_platform                            Неверная платформа
dialog_auth_key_dead                                  Неверный ключ
dialog_auth_version_not_found                         Версия не найдена
dialog_auth_key_inactive                              Ключ неактивен
dialog_auth_version_revoked                           Версия недействительна
dialog_auth_key_not_found                             Ключ не найден
dialog_auth_key_revoked                               Ключ недействителен
dialog_auth_key_banned                                Ключ заблокирован
dialog_auth_key_invalid                               Неправильный ключ
dialog_auth_unknown                                   Неизвестно
dialog_auth_accepted                                  ОК

dialog_controloptions                                 Прочее
dialog_sidescrolling                                  Прокрутка мыши
dialog_zoomspeed                                      Увеличения
dialog_camdragging                                    Перетаскивание
dialog_tooltips                                       Подсказки
dialog_popupscale                                     Размер окон
dialog_panickey                                       Экстр. клавиша
dialog_language                                       Язык
dialog_restart_required_language                      Пожалуйста, перезапустите Defcon для обновления настроек\nязыка.
dialog_keyboardlayout                                 Раскладка

dialog_zoomnormal                                     Обычная
dialog_zoomslow                                       Медленная

dialog_lobby                                          ФОЙЕ
dialog_lobby_team_options                             Настройки команды
dialog_lobby_advanced_options                         Расш. настройки
dialog_rename                                         Переименовать
dialog_territories                                    Территории
dialog_alliance                                       Союз
dialog_requestai                                      Добавить компьютер
dialog_chat                                           Окно сообщений
dialog_ready                                          Готов к игре
dialog_gamestart                                      Игра начнется через *X сек.
# X = Обратный отсчет в секундах до начала игры
dialog_gamestart_whenready                            Игра начнется, когда ВСЕ будут готовы
dialog_gamestart_youready                             Игра начнется, когда ВЫ будете готовы
dialog_kick                                           Исключить
dialog_spectate                                       Наблюдать
dialog_join_alliance                                  Присоединиться к *A
# A = Имя союза
dialog_closed                                         закрыто
dialog_demo_user                                      ДЕМОВЕРСИЯ
dialog_number_players_max                             *N игр. максимум
# N = Максимальное число игроков
dialog_click_to_open                                  открыть
dialog_click_to_close                                 закрыть
dialog_awaiting_player                                ожидание...
dialog_cpu_team_name                                  [ЦП] *T
# T = Имя команды
dialog_joining                                        [Присоединение...]
dialog_demo_team_name                                 [ДЕМО] *T
# T = Имя команды 
dialog_demo_too_many_players                          Данное количество игроков недопустимо в вашей игре,\nпоскольку у вас запущена ДЕМОВЕРСИЯ.\n\nЕсли вы хотите участвовать в многопользовательском сражении для шести игроков, вы должны приобрести полную версию игры.\n\nМаксимальный объем демоверсии = *N Игроков
# N = Максимальный объем демоверсии

dialog_edited                                         изменено
dialog_locked                                         заблокировано

dialog_click_select_territory                         ВЫБЕРИТЕ ТЕРРИТОРИЮ (*T/*M)
# T = Количество территорий, M = Максимальное число территорий
dialog_random_territories                             СЛУЧАЙНЫЕ ТЕРРИТОРИИ
dialog_option_locked_demo_1                           ЗАБЛОКИРОВАНО
dialog_option_locked_demo_2                           (демоверсия).
dialog_option_locked_game_mode_1                      ЗАБЛОКИРОВАНО
dialog_option_locked_game_mode_2                      из-за текущего режима игры.
dialog_spectators_number                              ЗРИТЕЛИ     (*N макс.)
# N = Максимальное число зрителей
dialog_awaiting_spectators                            ожидание зрителей...
dialog_internet_identity                              Данные польз-ля
dialog_internet_identity_details                      *I : *P
# I = Ip-адрес, P = порт
dialog_lan_identity                                   Данные LAN
dialog_server_identity                                Данные сервера
dialog_lobby_defcon                                   DEFCON
dialog_created_by_introversion                        РАЗРАБОТАН INTROVERSION  SOFTWARE
dialog_lobby_version                                  ВЕРСИЯ:

dialog_lobby_have_latest_version                      У вас установлена последняя версия.
dialog_lobby_newer_version                            Доступна новая версия: *V
# V = Новая версия
dialog_lobby_click_to_download                        Щелкните для загрузки
dialog_lobby_demo_limitations                         ОГРАНИЧЕНИЯ ДЕМОВЕРСИИ
dialog_lobby_max_demo_game_size                       Макс. объем
dialog_lobby_max_demo_players                         Макс. кол-во игроков
dialog_lobby_demo_servers_permitted                   Серверы в демоверсии разрешены
dialog_lobby_number_players                           *P игр.
# P = количество игроков
dialog_lobby_metaserver_time                          ВРЕМЯ МЕТАСЕРВЕРА
dialog_lobby_time_gmt                                 *H:*M*A (GMT)
# H = Часы, M = Минуты, A = am/pm
dialog_lobby_test_hours_start_at                      ЗАПУСК ВАШЕГО ТЕСТА В
dialog_lobby_scheduled_test_hour                      ЗАПЛАНИРОВАННОЕ ВРЕМЯ ТЕСТА
dialog_lobby_occurring_now                            ЗАПУЩЕН
dialog_lobby_next_test_hour_begins                    СЛЕДУЮЩИЙ ТЕСТ НАЧНЕТСЯ ЧЕРЕЗ
dialog_lobby_minutes                                  *M МИНУТ
# M = Минуты
dialog_lobby_hours_minutes                            *H HOURS *M MINUTES

# H = Часы, M = Минуты
dialog_lobby_authentication                           ВХОД : *A
# A = Состояние аутентификации
dialog_lobby_client_ident                             ДАННЫЕ КЛИЕНТА : *I:*P
# I = Ip-адрес, P = Порт
dialog_lobby_client_ident_unknown                     ДАННЫЕ КЛИЕНТА : Неизвестны
dialog_lobby_server_ident                             ДАННЫЕ СЕРВЕРА : *I:*P
# I = Ip-адрес, P = Порт
dialog_lobby_server_ident_unknown                     ДАННЫЕ СЕРВЕРА: неизвестны

dialog_alliance_0                                     Красный
dialog_alliance_1                                     Зеленый
dialog_alliance_2                                     Синий
dialog_alliance_3                                     Желтый
dialog_alliance_4                                     Оранжевый
dialog_alliance_5                                     Голубой

dialog_alliances                                      Союзы
dialog_declarewar                                     Война с *T?
dialog_ceasefire                                      Перемирие с *T?
dialog_ceasefire_title                                Прекратить огонь 
dialog_shareradar                                     Совместно использовать радар
dialog_alliance_leave                                 Покинуть союзника
dialog_alliance_kick                                  Исключить этого игрока из союза
dialog_alliance_join                                  Запрос на членство в союзе
dialog_shareradarbegin                                Использовать радар совместно с *T?
dialog_shareradarend                                  Прекратить совместное использование радара с *T?
dialog_vote                                           Голосовать
dialog_abstain                                        Воздержаться
dialog_you_requested_alliance_1                       Вы отправили запрос на
dialog_you_requested_alliance_2                       вступление в союз *A 
# A = Союз
dialog_requested_alliance_1                           *T просит
# T = Имя команды
dialog_requested_alliance_2                           членства в вашем союзе
dialog_you_requested_kick_1                           Вы отправили запрос на
dialog_you_requested_kick_2                           исключение *T
# T = Имя команды 
dialog_requested_kick_1                               *T просит
# T = Имя команды 
dialog_requested_kick_2                               исключить *T
# T = Имя команды
dialog_vote_yes                                       ЗА
dialog_vote_no                                        ПРОТИВ
dialog_vote_abstain                                   ВОЗД.
dialog_vote_seconds_to_vote                           *S сек. до голосования
# S = секунд до голосования 
dialog_vote_number_votes_required                     Необходимо *V голосов
# V = Необходимое число голосов
dialog_vote_succeeded                                 УСПЕШНО
dialog_vote_failed                                    НЕ УДАЛОСЬ
dialog_alliance_player                                Игрок
dialog_alliance_receiving                             Получ.
dialog_alliance_radar                                 Радар
dialog_alliance_sending                               Отправ.
dialog_alliance_cease                                 Прекр.
dialog_alliance_fire                                  Огонь

dialog_placeunit                                      Размещение
dialog_createfleet                                    Создать флот

dialog_credits_1                                      *C кредитов
dialog_credits_2                                      Осталось
dialog_fleets                                         Флоты
dialog_units                                          Боевые единицы
dialog_place_fleet                                    Разместить флот

dialog_paused                                         ПАУЗА
dialog_gameover                                       ИГРА ОКОНЧЕНА
dialog_saved_screenshot                               /me сохранить кадр 
# /me будет заменено именем команды
dialog_steam_authentication_failed                    Вход в Steam 
ПРОВАЛИЛАСЬ\n\n
dialog_steam_logged_in_elsewhere                      Для устранения данной проблемы вам необходимо снова войти в Steam.\nВыйдите из Defcon, щелкните на File Menu в Steam, затем щелкните на 'Change User'.\nВведите свое имя пользователя и пароль для входа.\n\n
dialog_steam_error                                    Ошибка Steam
dialog_synchronisation_error                          ОШИБКА СИНХРОНИЗАЦИИ
dialog_connection_problem_seconds                     ОШИБКА СОЕДИНЕНИЯ (*S SECS)
# S = Примерное время ожидания в секундах
dialog_high_latency                                   Продолжительное время ожидания
dialog_high_packet_loss                               Большая потеря пакетов
dialog_defcon_x_in_x_time                             DEFCON *D Через *M:*S
# D = Уровень Defcon, M = Минут, S = Секунд
dialog_time_remaining                                 ОСТАЛОСЬ *M:*S
# M = Минут, S = Секунд
dialog_autocam                                        АВТОКАМЕРА
dialog_non_playable_demo                              НЕПОДХОДЯЩАЯ ДЕМОВЕРСИЯ
dialog_tracking_synchronisation                       ОТСЛЕЖИВАНИЕ СИНХРОНИЗАЦИИ

dialog_steam_authentication                           Вход в Steam 
dialog_steam_play_defcon                              Запуск Defcon
dialog_steam_auth_status                              СОСТОЯНИЕ ВХОДА В STEAM 
dialog_steam_welcome_to_defcon                        Добро пожаловать в Defcon!
dialog_steam_may_play_demo                            Вы можете запустить ДЕМОВЕРСИЮ Defcon
dialog_steam_unable_to_auth                           Нам не удалось вас идентифицировать.
dialog_steam_auth_progress                            Вход в Steam: *P
# P = Состояние аутентификации Steam

dialog_steam_error_edenysteamvalidationstalled        Ошибка проверки паспорта пользователя STEAM (серверу не удалось соединиться с сервером аутентификации).\n
dialog_steam_error_edenynotloggedon                   Неверный вход в Steam
dialog_steam_error_edenyloggedinelsewhere             Данный аккаунт активирован с другого компьютера 
dialog_steam_error_edenynolicense                     Данный аккаунт Steam не зарегистрирован в этой игре. \nПожалуйста, активируйте правильный аккаунт Steam.
dialog_steam_error_edenyinvalidversion                Версия клиента несовместима с сервером. \nПожалуйста, выйдите и запустите заново
dialog_steam_error_edenycheater                       Аккаунт заблокирован
dialog_steam_error_edenyunknowntext                   Клиент выброшен с сервера
dialog_steam_error_edenyincompatibleanticheat         У вас запущено внешнее приложение, несовместимое с защищенными серверами.
dialog_steam_error_edenymemorycorruption              Обнаружена нехватка памяти.
dialog_steam_error_edenyincompatiblesoftware          У вас запущено программное обеспечение, несовместимое с защищенными серверами.
dialog_steam_error_edenygeneric                       Клиент выброшен с сервера 
dialog_steam_error_unknown                            Н\Д

dialog_steam_progress_not_started                     Не запущен
dialog_steam_progress_started                         запущен
dialog_steam_progress_starting_steam                  Запуск Steam
dialog_steam_progress_starting_steam_api              Запуск интерфейса Steam
dialog_steam_progress_logging_on_to_steam             Вход в Steam
dialog_steam_progress_getting_steam_id                Получение идентификатора Steam
dialog_steam_progress_getting_encryption_details      Получение деталей шифрования
dialog_steam_progress_getting_steam2_auth             Вход в Steam2
dialog_steam_progress_getting_steam3_auth             Вход в Steam3 dialog_steam_progress_requesting_authentication       Запрос аутентификации
dialog_steam_progress_success                         Успешно
dialog_steam_progress_success_demo                    Успешно (Демоверсия)
dialog_steam_progress_failed                          Попытка провалилась

dialog_warning                                        Предупреждение

dialog_enterpassword                                  Введите пароль сервера
dialog_setpassword                                    Задать пароль сервера (оставьте пустым, если нет пароля)

dialog_resync_title                                   Повторная синхронизация
dialog_resync_button                                  Ресинхрон.
dialog_resync_caption                                 Синхронизация с другими игроками отсутствует.\n\nДля исправления данной ошибки щелкните кнопку Синхронизировать заново.\n\nМожет занять несколько минут.

team_unassigned                                       Не определена
team_ai                                               Компьютерный игрок
team_local                                            Местный игрок
team_remote                                           Удаленный игрок

team_name_not_set                                     [имя-не-задано]

dialog_metaserver_failedtitle                         Попытка подключения к метасерверу провалилась
dialog_metaserver_failedconnect                       Defcon не сумел подключиться к метасерверу.\nЭто значит, что вы не сможете восстановить списки сервера\или внести свой сервер в список.\n\nПроверьте свое подключение к Интернету, попробуйте отключить \nбрандмауэры и прочие запущенные сетевые утилиты.\n\nИгре необходим доступ к следующим портам:\n5009 UDP (исходящий)\n5009 UDP (входящий)\n\nЗа более подробной помощью обратитесь к руководству по устранению неполадок:\n

dialog_client_failedtitle                             ОШИБКА СЕТИ
dialog_client_failedconnect                           Defcon не сумел открыть сетевой приемник.\nЭто значит, что вы не можете участвовать в уже имеющихся играх\или создавать собственные.\n\nПопробуйте отключить брандмауэры и прочие запущенные сетевые утилиты.\n\nЗа подробной помощью обратитесь к руководству по устранению неполадок:\n

dialog_server_failedtitle                             НЕ УДАЛОСЬ ЗАПУСТИТЬ СЕРВЕР
dialog_server_failedconnect                           Defcon не сумел создать сервер.\nЗапрашиваемые сетевые подключения недоступны.\n\nПопробуйте отключить брандмауэры и прочие запущенные сетевые утилиты.\n\nЗа подробной помощью обратитесь к руководству по устранению неполадок:\n

dialog_ambxsupport                                    Поддержка amBX 
dialog_ambxsupport_tooltip                            Включите данную функцию, если у вас имеется установленное оборудование AMBX.  Для более подробной информации посетите www.ambx.com.

dialog_screen_error_title                             Ошибка экрана
dialog_screen_error_caption                           Не удалось задать разрешение экрана\n*W x *H, *C цвета, *S.\n\nВключены безопасные настройки\n*w x *h, *c цвет, *s.
# W = Ширина экрана, H = Высота экрана, C = Глубина цвета (т.е.: 24 бит), S = В окне/Полный экран
# Остальные буквы – безопасные версии их прописных аналогов (т.е.: w, h ,c ,s)

dialog_restart_required_title                         Требуется перезапуск
dialog_restart_required_caption                       Пожалуйста, перезапустите Defcon для обновления параметров\nэкрана.

dialog_connection_status                              Состояние подключения
dialog_abort_current_connection                       Отменить текущую попытку подключения
dialog_state_disconnected                             ОТКЛЮЧЕНО
dialog_state_connecting                               ПОДКЛЮЧЕНИЕ...
dialog_state_connected                                ПОДКЛЮЧЕНИЕ УСТАНОВЛЕНО
dialog_state_attempts                                 ПОПЫТОК : *A
# A = Количество попыток подключения
dialog_state_receiving                                ЗАГРУЗКА...
dialog_state_received                                 ЗАГРУЖЕНО
dialog_state_synchronising                            СИНХРОНИЗАЦИЯ...
dialog_state_synchronised                             СИНХРОНИЗИРОВАННО
dialog_state_time_remaining                           ОСТАВШЕЕСЯ ВРЕМЯ : *M.*S
# M = Минут, S = Секунд

dialog_toolbar_units                                  единицы
dialog_toolbar_allies                                 союзники
dialog_toolbar_comms                                  команды
dialog_toolbar_scores                                 очки
dialog_toolbar_radar                                  радар
dialog_toolbar_people                                 население
dialog_toolbar_orders                                 приказы
dialog_toolbar_territory                              территория
dialog_toolbar_nukes                                  ракеты
dialog_toolbar_white_board                            доска
dialog_toolbar_info                                   информация

dialog_mod                                            Модификации
dialog_mod_commit_title                               ЗАГРУЗКА МОДОВ...
dialog_mod_commit_mod_path                            Путь к моду...\n
dialog_mod_commit_activating_mod                      Активация мода '*N *V'\n
# N = имя мода, V = версия
dialog_mod_commit_all_mods_off                        Все моды
деактивированы 
dialog_mod_error                                      ОШИБКА
dialog_mod_no_arrangement_change                      Вы не можете изменить ОСНОВНЫЕ моды\nпока игра запущена.
dialog_mod_not_installed                              (НЕ УСТАНОВЛЕНА)
dialog_mod_active                                     активна
dialog_mod_clear_all                                  Очистить все
dialog_mod_deactivate                                 Деактивировать
dialog_mod_activate                                   Активировать
dialog_mod_click_download_mods                        Нажмите здесь для загрузки мода
dialog_mod_click_here                                 Нажмите
dialog_mod_move_up                                    Вверх
dialog_mod_move_down                                  Вниз
dialog_mod_no_mod_selected                            Мод не выбран
dialog_mod_screenshot_not_found                       Кадр не найден      
dialog_mod_install_dir                                Путь
dialog_mod_author                                     Автор
dialog_mod_website                                    Веб-сайт
dialog_mod_required_all_players                       Обязательна для всех игроков
dialog_error_mod_path_title                           Ошибка выбора директории для мода
dialog_error_mod_path_caption                         Ошибка выбора директории для мода.\nНа данном сервере запущен мод, который не установлен на вашем компьютере.\n\nНа данном сервере запущены следующие моды:\n

dialog_demo                                           Демоверсия
dialog_welcome_to_demo                                ДОБРО ПОЖАЛОВАТЬ В ДЕМОВЕРСИЮ
dialog_play_demo                                      Демоверсия
dialog_buy_now                                        Купить
dialog_buy_now_caps                                   КУПИТЬ
dialog_exit_game_time                                 Выход из игры (*T)
# T = Оставшееся время
dialog_exit_game                                      Выйти из игры
dialog_welcome_to_demo_defcon                         Добро пожаловать в демоверсию Defcon.
dialog_demo_player_limited                            Вы можете создать многопользовательскую игру,\nоднако количество игроков будет ограничено до *P.\nВ ПОЛНОЙ ВЕРСИИ игры вам будет доступно до шести игроков.\n\n

# P = Количество игроков
dialog_demo_player_join_limited                       Вы можете присоединиться к существующей многопользовательской игре\nтолько если к ней подключено не более *P\nигроков.
# P = Количество игроков
dialog_demo_spectate_any_game                         \nВы можете наблюдать за любой игрой.

dialog_server_browser                                 Браузер сервера
dialog_server_password                                Пароль сервера
dialog_enter_ip_manually                              Вручную ввести IP
dialog_filters                                        Фильтры
dialog_server_details                                 Сервер *I : *P
# I = Ip-адрес, P = порт
dialog_server_version_mismatch                        Вы не можете присоединиться к игровому серверу.\n\nНа сервере запущена другая версия.\nВаши версии несовместимы.\n\n\nВаша версия  : *V\nВерсия сервера : *T
# V = Ваша версия, T = Версия сервера
dialog_cannot_join_server                             Невозможно присоединиться к серверу
dialog_no_join_mods_not_installed                     Вы не можете присоединиться к игровому серверу.\n\nНа сервере запущены моды, которых у вас нет.\nНеобходимы следующие моды:\n\n*R\n\nВы можете скачать моды с\n

# R = Причина
dialog_no_join_own_game                               Вы не можете присоединиться к игровому серверу.\n\nЭто ваш собственный сервер и\nвы к нему уже подключены.
dialog_requesting                                     Запрос...
dialog_refresh_number_server                          Обновить (*S)
# S = Количество серверов
dialog_server_demo_restricted                         Данный сервер закрыт для пользователей демоверсии.\n\nЭто значит, что на сервере уже присутствует допустимое количество игроков, либо игра запущена в продвинутом режиме.\n\nЕсли вы хотите участвовать в таких играх, вам необходимо будет приобрести полную версию игры.\n\nМаксимальное количество пользователей демоверсии в игре: *N
